Species,nat_loc
Pinus pinaster,"Algeria, Baleares, Corse, France, Italy, Morocco, Portugal, Sardegna, Sicilia, Spain, Tunisia"
Ulex europaeus,"Belgium, Corse, France, Germany, GreatBritain, Ireland, Italy, Madeira, Netherlands, Portugal, Spain, Switzerland"
Miconia calvescens,"ArgentinaNortheast, ArgentinaNorthwest, Belize, Bolivia, BrazilNorth, BrazilNortheast, BrazilSouth, BrazilSoutheast, BrazilWest-Central, Colombia, CostaRica, Ecuador, Guatemala, Honduras, MexicoGulf, MexicoSoutheast, MexicoSouthwest, Nicaragua, Panamá, Paraguay, Peru"
Geranium robertianum,"Albania, Algeria, Altay, Austria, Azores, BalticStates, Belarus, Belgium, BritishColumbia, Bulgaria, California, CanaryIs., CentralEuropeanRus, ChinaSouth-Central, ChinaSoutheast, Connecticut, Corse, Cyprus, Czechoslovakia, Delaware, Denmark, EastEuropeanRussia, EastHimalaya, Ethiopia, Finland, France, Germany, GreatBritain, Greece, Hungary, Indiana, Iran, Ireland, Italy, Kazakhstan, Kirgizstan, Kriti, Krym, Lebanon-Syria, Libya, Madeira, Maine, Manitoba, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Montana, Morocco, Nepal, Netherlands, NewBrunswick, NewHampshire, NewJersey, Newfoundland, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, NovaScotia, Ohio, Ontario, Oregon, Pakistan, Pennsylvania, Poland, Portugal, PrinceEdwardI., Québec, RhodeI., Romania, Sardegna, SaudiArabia, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Tibet, Transcaucasus, Tunisia, Turkey-in-Europe, Turkmenistan, Ukraine, Uzbekistan, Vermont, Virginia, Washington, WestSiberia, WestVirginia, Wisconsin, Yemen, Yugoslavia"
Jacobaea vulgaris,"Albania, Altay, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, ChinaSoutheast, Chita, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Ireland, Irkutsk, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Krym, Mongolia, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Turkey, Tuva, Ukraine, Uzbekistan, WestSiberia, Xinjiang, Yakutskiya, Yugoslavia"
Calystegia sepium spp. sepium,"Afghanistan, Albania, Algeria, Altay, Austria, Azores, Baleares, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Corse, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Iran, Ireland, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Kriti, Krym, Lebanon-Syria, Madeira, Morocco, Netherlands, NorthCaucasus, NorthwestEuropeanR, Norway, Palestine, Poland, Portugal, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Uzbekistan, WestSiberia, Xinjiang, Yugoslavia"
Sonchus arvensis,"Albania, Altay, Amur, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, Chita, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Ireland, Irkutsk, Italy, Kamchatka, Kazakhstan, Khabarovsk, Kirgizstan, Krasnoyarsk, Krym, KurilIs., Magadan, Mongolia, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Oman, Poland, Primorye, Romania, Sakhalin, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Turkey, Turkey-in-Europe, Tuva, Ukraine, Uzbekistan, WestSiberia, Yakutskiya, Yugoslavia"
Bromus hordeaceus,"Albania, Algeria, Altay, Austria, Azores, Baleares, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CanaryIs., CentralEuropeanRus, ChinaNorth-Central, Chita, Corse, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, EastHimalaya, Egypt, Finland, France, Germany, GreatBritain, Greece, Hungary, Ireland, Irkutsk, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Kriti, Krym, Lebanon-Syria, Libya, Madeira, Morocco, Netherlands, NorthCaucasus, NorthwestEuropeanR, Norway, Pakistan, Poland, Portugal, Primorye, Qinghai, Romania, Sakhalin, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Tuva, Ukraine, Uzbekistan, WestHimalaya, WestSiberia, Xinjiang, Yakutskiya, Yugoslavia"
Acer platanoides,"Afghanistan, Albania, Austria, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Czechoslovakia, EastEuropeanRussia, Finland, France, Germany, Greece, Hungary, Iran, Italy, Kirgizstan, Krym, NorthCaucasus, Norway, Pakistan, Poland, Romania, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Turkey, Turkey-in-Europe, Ukraine, Uzbekistan, Yugoslavia"
Vicia cracca,"Afghanistan, Albania, Altay, Amur, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Chita, Corse, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Iceland, InnerMongolia, Iran, Ireland, Irkutsk, Italy, Japan, Kamchatka, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Krym, KurilIs., Lebanon-Syria, Magadan, Manchuria, Mongolia, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Pakistan, Poland, Primorye, Romania, Sakhalin, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Taiwan, Tibet, Turkey, Turkey-in-Europe, Tuva, Ukraine, WestSiberia, Xinjiang, Yakutskiya, Yugoslavia"
