Species,nat_loc
Bistorta officinalis,"Albania, Altay, Amur, Assam, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Chita, Czechoslovakia, EastEuropeanRussia, France, Germany, GreatBritain, Greece, Hungary, InnerMongolia, Iran, Iraq, Irkutsk, Italy, Japan, Khabarovsk, Korea, Krasnoyarsk, Krym, Manchuria, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Pakistan, Poland, Portugal, Primorye, Qinghai, Romania, Sakhalin, SouthEuropeanRussi, Spain, Switzerland, Tibet, Transcaucasus, Turkey, Tuva, Ukraine, WestHimalaya, WestSiberia, Yakutskiya, Yugoslavia"
Sanguisorba officinalis,"Alaska, Albania, Altay, Amur, Austria, BalticStates, Belarus, Belgium, BritishColumbia, Bulgaria, Buryatiya, California, CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Chita, Czechoslovakia, EastEuropeanRussia, France, Germany, GreatBritain, Greece, Hungary, Iceland, InnerMongolia, Iran, Ireland, Irkutsk, Italy, Japan, Kamchatka, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Krym, Magadan, Maine, Manchuria, Michigan, Mongolia, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, NorthwestTerritorie, Norway, NovaScotia, Oregon, Pennsylvania, Poland, Primorye, Qinghai, Romania, Sakhalin, SouthEuropeanRussi, Spain, Sweden, Switzerland, Taiwan, Tibet, Transcaucasus, Turkey, Tuva, Ukraine, Washington, WestSiberia, Xinjiang, Yakutskiya, Yugoslavia, Yukon"
Matricaria discoidea,"Alaska, Alberta, AleutianIs., Arizona, Arkansas, BritishColumbia, California, Colorado, Connecticut, Delaware, Greenland, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Manitoba, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nevada, NewBrunswick, NewHampshire, NewJersey, NewMexico, NewYork, NorthCarolina, NorthDakota, NorthwestTerritorie, NovaScotia, Nunavut, Ohio, Oklahoma, Ontario, Oregon, Pennsylvania, PrinceEdwardI., Québec, RhodeI., Saskatchewan, SouthCarolina, SouthDakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, WestVirginia, Wisconsin, Wyoming, Yukon"
Pulicaria dysenterica,"Afghanistan, Albania, Algeria, Austria, Baleares, Belgium, Bulgaria, CentralEuropeanRus, Corse, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., France, Germany, GreatBritain, Greece, Hungary, Iran, Iraq, Ireland, Italy, Kriti, Krym, Lebanon-Syria, Morocco, Nepal, Netherlands, NorthCaucasus, Norway, Pakistan, Palestine, Poland, Portugal, Romania, Sardegna, Sicilia, Spain, Switzerland, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, WestHimalaya, Yugoslavia"
Senecio sylvaticus,"Austria, Azores, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Ireland, Italy, Madeira, Netherlands, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Transcaucasus, Turkey-in-Europe, Ukraine, Yugoslavia"
Juncus inflexus,"Afghanistan, Albania, Algeria, Assam, Austria, Baleares, BalticStates, Belarus, Belgium, Bulgaria, CanaryIs., CapeProvinces, CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Corse, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, EastHimalaya, France, FreeState, Germany, GreatBritain, Greece, Hungary, India, Iran, Iraq, Ireland, Italy, Kazakhstan, Kirgizstan, Kriti, Krym, Lebanon-Syria, Lesotho, Madagascar, Madeira, Mongolia, Morocco, Netherlands, NorthCaucasus, NorthwestEuropeanR, Pakistan, Palestine, Poland, Portugal, Romania, Sardegna, SaudiArabia, Sicilia, Sinai, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Tibet, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Uzbekistan, WestHimalaya, Xinjiang, Yemen, Yugoslavia, Zaïre"
Avena barbata,"Afghanistan, Albania, Algeria, Assam, Baleares, Bulgaria, Corse, Cyprus, EastAegeanIs., Egypt, France, Greece, Iran, Iraq, Italy, Kriti, Kuwait, Lebanon-Syria, Libya, Morocco, Nepal, NorthCaucasus, Oman, Pakistan, Palestine, Portugal, Romania, Sardegna, SaudiArabia, Sicilia, Sinai, Spain, Tadzhikistan, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Uzbekistan, WestHimalaya, WesternSahara, Yemen, Yugoslavia"
Veronica chamaedrys,"Albania, Altay, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Iceland, Ireland, Irkutsk, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Krym, Lebanon-Syria, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, SouthEuropeanRussi, Spain, Sweden, Switzerland, Turkey, Turkey-in-Europe, Ukraine, WestSiberia, Yugoslavia"
Salix fragilis,Turkey
Malva moschata,"Albania, Austria, Belarus, Belgium, Bulgaria, Corse, Czechoslovakia, France, Germany, GreatBritain, Greece, Italy, Netherlands, Poland, Romania, Sicilia, SouthEuropeanRussi, Spain, Switzerland, Turkey, Ukraine, Yugoslavia"
Geum urbanum,"Albania, Algeria, Austria, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Corse, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Iran, Iraq, Ireland, Italy, Kazakhstan, Kirgizstan, Krym, Lebanon-Syria, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Palestine, Poland, Portugal, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Uzbekistan, Yugoslavia"
Luzula campestris,"Albania, Algeria, Austria, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Corse, Czechoslovakia, Denmark, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Ireland, Italy, Morocco, Netherlands, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, Sardegna, Spain, Sweden, Switzerland, Turkey-in-Europe, Ukraine, Yugoslavia"
Potamogeton natans,"Afghanistan, Alaska, Albania, Alberta, Algeria, Altay, Amur, Arizona, Austria, BalticStates, Belarus, Belgium, BritishColumbia, Bulgaria, Buryatiya, California, CentralEuropeanRus, Chita, Colorado, Connecticut, Corse, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Iceland, Idaho, Illinois, Indiana, Iowa, Iran, Ireland, Irkutsk, Italy, Japan, Kamchatka, Kansas, Kazakhstan, Kirgizstan, Korea, Krasnoyarsk, Krym, KurilIs., Lebanon-Syria, Libya, Magadan, Maine, Manchuria, Manitoba, Massachusetts, MexicoCentral, MexicoNorthwest, MexicoSouthwest, Michigan, Minnesota, Mongolia, Montana, Morocco, Myanmar, Nebraska, Nepal, Netherlands, Nevada, NewBrunswick, NewHampshire, NewJersey, NewMexico, NewYork, Newfoundland, NorthCaucasus, NorthDakota, NorthEuropeanRussi, NorthwestEuropeanR, NorthwestTerritorie, Norway, NovaScotia, Ohio, Ontario, Oregon, Pakistan, Pennsylvania, Poland, Portugal, Primorye, PrinceEdwardI., Québec, RhodeI., Romania, Sakhalin, Sardegna, Saskatchewan, Sicilia, SouthDakota, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Tunisia, Turkey, Tuva, Ukraine, Utah, Uzbekistan, Vermont, Washington, WestHimalaya, WestSiberia, WestVirginia, Wisconsin, Wyoming, Xinjiang, Yakutskiya, Yemen, Yugoslavia, Yukon"
Thymus pulegioides,"Albania, Altay, Austria, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Ireland, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Krym, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Ukraine, WestSiberia, Xinjiang, Yugoslavia"
Torilis japonica,"Afghanistan, Albania, Assam, Austria, Baleares, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Corse, Czechoslovakia, Denmark, EastEuropeanRussia, EastHimalaya, Finland, France, Germany, GreatBritain, Greece, Hungary, Iran, Ireland, Italy, Japan, Korea, Krym, KurilIs., Myanmar, Nepal, Netherlands, NorthCaucasus, NorthwestEuropeanR, Norway, Pakistan, Palestine, Poland, Portugal, Primorye, Romania, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tibet, Transcaucasus, Turkey, Turkey-in-Europe, Ukraine, Vietnam, WestHimalaya, Yugoslavia"
Trifolium medium,"Albania, Austria, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Iran, Ireland, Italy, Kazakhstan, Krym, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Turkey-in-Europe, Ukraine, WestSiberia, Yugoslavia"
Glyceria fluitans,"Albania, Austria, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Corse, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Iceland, Ireland, Italy, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Yugoslavia"
Holcus mollis,"Albania, Algeria, Austria, BalticStates, Belgium, Bulgaria, CentralEuropeanRus, Corse, Czechoslovakia, Denmark, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Ireland, Italy, Netherlands, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Tunisia, Turkey-in-Europe, Ukraine, Yugoslavia"
Vicia sepium,"Albania, Altay, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Iceland, Ireland, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Krym, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Pakistan, Poland, Portugal, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Turkey, Ukraine, WestHimalaya, WestSiberia, Xinjiang, Yugoslavia"
Danthonia decumbens,"Albania, Algeria, Austria, Azores, BalticStates, Belarus, Belgium, Bulgaria, CapeVerde, CentralEuropeanRus, Corse, Czechoslovakia, Denmark, Finland, France, FreeState, Føroyar, Germany, GreatBritain, Greece, Hungary, Iceland, Ireland, Italy, Krym, Madeira, Morocco, Netherlands, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, Sardegna, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Ukraine, Yugoslavia"
Gnaphalium uliginosum,"Alaska, Albania, Alberta, Algeria, Altay, Amur, Austria, BalticStates, Belarus, Belgium, BritishColumbia, Bulgaria, Buryatiya, CentralEuropeanRus, ChinaNorth-Central, Chita, Colorado, Connecticut, Corse, Czechoslovakia, Delaware, Denmark, EastEuropeanRussia, Egypt, Finland, France, Germany, GreatBritain, Greece, Greenland, Hungary, Iceland, Idaho, Illinois, InnerMongolia, Iowa, Ireland, Irkutsk, Italy, Japan, Kansas, Kazakhstan, Kentucky, Khabarovsk, Korea, Krasnoyarsk, Krym, Lebanon-Syria, Maine, Manchuria, Manitoba, Maryland, Massachusetts, Minnesota, Mongolia, Montana, Netherlands, NewBrunswick, NewGuinea, NewHampshire, NewJersey, NewYork, Newfoundland, NorthEuropeanRussi, NorthwestEuropeanR, Norway, NovaScotia, Ohio, Ontario, Oregon, Pakistan, Pennsylvania, Poland, Portugal, Primorye, PrinceEdwardI., Québec, RhodeI., Romania, Saskatchewan, Sicilia, SouthDakota, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tibet, Transcaucasus, Turkey, Turkey-in-Europe, Ukraine, Utah, Vermont, Virginia, Washington, WestHimalaya, WestSiberia, WestVirginia, Wisconsin, Wyoming, Xinjiang, Yakutskiya, Yugoslavia, Yukon"
Carex nigra,"Albania, Altay, Amur, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, Chita, Connecticut, Corse, Czechoslovakia, Denmark, EastEuropeanRussia, EastHimalaya, Finland, France, Føroyar, Germany, GreatBritain, Greece, Greenland, Hungary, Iceland, Iran, Iraq, Ireland, Irkutsk, Italy, Kazakhstan, Krasnoyarsk, Krym, Labrador, Maine, Massachusetts, Michigan, Mongolia, Morocco, Netherlands, NewBrunswick, NewHampshire, NewYork, Newfoundland, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, NovaScotia, Poland, Portugal, PrinceEdwardI., Québec, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Turkey, Ukraine, Vermont, WestSiberia, Yakutskiya, Yugoslavia"
Potentilla verna,"Albania, Austria, BalticStates, Belgium, Corse, Czechoslovakia, Denmark, Finland, France, Germany, GreatBritain, Hungary, Italy, Netherlands, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland"
Scrophularia auriculata,"Algeria, Azores, Baleares, Belgium, Corse, France, Germany, GreatBritain, Ireland, Italy, Kriti, Morocco, Netherlands, Portugal, Sardegna, Sicilia, Spain, Switzerland, Tunisia"
Primula elatior,"Albania, Altay, Austria, Belarus, Belgium, Bulgaria, Buryatiya, Czechoslovakia, Denmark, EastEuropeanRussia, France, Germany, GreatBritain, Greece, Hungary, Irkutsk, Italy, Kazakhstan, Krasnoyarsk, Netherlands, NorthwestEuropeanR, Poland, Romania, Spain, Sweden, Switzerland, Transcaucasus, Turkey, Tuva, Ukraine, WestSiberia, Yugoslavia"
Pimpinella saxifraga,"Albania, Altay, Austria, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Czechoslovakia, Denmark, EastEuropeanRussia, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Iran, Iraq, Ireland, Irkutsk, Italy, Kazakhstan, Krasnoyarsk, Krym, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Romania, Sardegna, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Turkey, Turkey-in-Europe, Ukraine, WestSiberia, Yugoslavia"
Filipendula ulmaria,"Albania, Altay, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Iceland, Iran, Ireland, Irkutsk, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Krym, Mongolia, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Primorye, Romania, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Turkey, Tuva, Ukraine, WestSiberia, Xinjiang, Yakutskiya, Yugoslavia"
Carlina vulgaris,"Albania, Austria, BalticStates, Belarus, Belgium, Bulgaria, Czechoslovakia, Denmark, Finland, France, Germany, GreatBritain, Greece, Hungary, Iran, Ireland, Italy, Krym, Netherlands, NorthCaucasus, Norway, Poland, Romania, Spain, Sweden, Switzerland, Transcaucasus, Turkey, Turkmenistan, Ukraine, Yugoslavia"
Pinus halepensis,"Albania, Algeria, Baleares, Corse, EastAegeanIs., France, Greece, Italy, Lebanon-Syria, Libya, Morocco, Palestine, Sardegna, Sicilia, Spain, Tunisia, Turkey, Yugoslavia"
Ehrharta stipoides,"ChathamIs., Jawa, KermadecIs., LesserSundaIs., NewGuinea, NewSouthWales, NewZealandNorth, NewZealandSouth, NorfolkIs., Philippines, Queensland, SouthAustralia, Sulawesi, Tasmania, Victoria, WesternAustralia"
