name,occurrences_new
Brevipodium sylvaticum,35
Briza maxima,39070
Brodiaea uniflora,9
Bromopsis condensata,1
Bromopsis inermis,16493
Bromopsis inermis var. aristata,2
Bromus arvensis var. japonicus,1
Bromus breviaristatus,17
Bromus catharticus,19146
Bromus ciliatus var. purgans,1
Bromus cyri,65
Bromus diandrus,40958
Bromus diandrus ssp. maximus,292
Bromus diandrus ssp. rigidus,69
Bromus diandrus var. gussonei,10
Bromus erectus var. condensatus,73
Bromus grandiflorus,37
Bromus gussonei,27
Bromus gussonii,27
Bromus haenkeanus,4
Bromus hordeaceus,221667
Bromus hordeaceus f. leptostachys,7
Bromus hordeaceus ssp. mollis,5
Bromus hordeaceus var. leptostachys,7
Bromus hordeaceus var. mollis,5
Bromus inermis,26812
Bromus inermis f. aristatus,34
Bromus inermis f. bulbiferus,1
Bromus inermis f. proliferus,1
Bromus inermis ssp. inermis,3581
Bromus inermis ssp. inermis var. divaricatus,1
Bromus inermis ssp. inermis var. inermis,3581
Bromus inermis var. aristatus,34
Bromus inermis var. divaricatus,1
Bromus inermis var. inermis,3581
Bromus interruptus,174
Bromus japonicus,2284
Bromus japonicus ssp. subsquarrosus,329
Bromus japonicus var. porrectus,3
Bromus japonicus var. subsquarrosus,329
Bromus japonicus var. vestitus,1
Bromus kalmii,668
Bromus madritensis,16318
Bromus madritensis ssp. rubens,930
Bromus matritensis,126
Bromus maximus,20
Bromus mollis,1523
Bromus mollis f. nanus,2
Bromus mollis ssp. hordeaceus,1
Bromus mollis var. hordeaceus,1
Bromus mollis var. nanus,2
Bromus patulus,9
Bromus pendulus,1
Bromus pratensis,3
Bromus pubescens,867
Bromus purgans,67
Bromus rigidus,12072
Bromus rigidus ssp. gussonei,2
Bromus rigidus ssp. maximus,2
Bromus rigidus var. gussonei,2
Bromus rubens,19849
Bromus schraderi,1
Bromus squarrosus,8771
Bromus sterilis,132062
Bromus unioloides,929
Bromus unioloides f. chasmogama,3
Bromus unioloides f. pseudoparviflorus,3
Bromus unioloides f. pubiculmis,4
Bromus unioloides forma chamogama,3
Bromus unioloides forma pseudoparviflorus,3
Bromus unioloides subf. achalensis,906
Bromus unioloides subforma achalensis,906
Bromus unioloides var. humilis,2
Bromus unioloides var. virens,906
Bromus vestitus,1
Bromus villosus,4
Bromus willdenowii,261
Bromus wolgensis,29
Brugmansia arborea,174
Brugmansia candida,498
Bryonia diocia,63502
Bryophyllum fedtschenkoi,78
Bryophyllum proliferum,46
Buddleja asiatica,973
Bufonia paniculata,321
Bufonia willkommiana,8
Buglossoides arvensis,16074
Buglossoides arvensis forma incrassata,3
Buglossoides arvensis subsp. gasparrinii,135
Buglossoides arvensis subsp. incrassata,3
Buglossoides arvensis subsp. occidentalis,24
Buglossoides arvensis subsp. permixta,482
Buglossoides arvensis subsp. sibthorpiana,35
Buglossoides gasparrinii,53
Buglossoides incrassata,83
Bunias orientalis,31119
Bunium alpinum,49
Bunium bulbocastanum,13921
Bupleurum longifolium,2104
Cactus triacanthos,1
Caesalpinia violacea,143
Calamagrostis arenaria,3258
Calamagrostis colorata,1
Calamagrostis filiformis,6
Calamagrostis plumosa,3
Calamintha nepeta,3211
Calceolaria chelidonioides,204
Calceolaria scabiosifolia,2
Calchas crispipilus,1
Calendula stellata,53
Calliandra houstoniana var. calothyrsus,148
Callitriche austinii,1
Callitriche brutia,10218
Callitriche deflexa,204
Callitriche deflexa var. austinii,2
Callitriche deflexa var. subsessilis,9
Calophyllum inophyllum,1124
Calophyllum inophyllum var. takamaka,1
Calopogonium caeruleum,869
Calopogonium mucunoides,2888
Calopogonium orthocarpum,3
Calotis lappulacea,6759
Calotropis gigantea,814
Caltha biflora,173
Caltha biflora ssp. howellii,1
Caltha biflora var. rotundifolia,5
Caltha chelidonii,1
Caltha howellii,22
Caltha introloba,21
Caltha leptosepala,1435
Caltha leptosepala ssp. biflora,21
Caltha leptosepala ssp. howellii,69
Caltha leptosepala ssp. leptosepala,51
Caltha leptosepala ssp. leptosepala var. leptosepala,51
Caltha leptosepala ssp. leptosepala var. sulfurea,1
Caltha leptosepala var. biflora,21
Caltha leptosepala var. leptosepala,51
Caltha leptosepala var. rotundifolia,1
Caltha leptosepala var. sulfurea,1
Caltha natans,205
Caltha sagittata,83
Calystegia inflata,178
Calystegia sepium,184112
Calystegia sepium var. americana,389
Calystegia soldanella,6101
Calystegia spectabilis,2
Campylopus introflexus,56935
Canavalia cathartica,336
Canavalia virosa,50
Canna tuerckheimii,192
Canna x generalis,905
Canna X orchiodes,15
Cantinoa americana,305
Capsicum baccatum,295
Cardamine glacialis,33
Cardamine macrophylla,1278
Cardamine parviflora,2803
Cardamine parviflora var. arenicola,401
Cardaria draba,8138
Cardaria draba ssp. draba,282
Cardaria latifolia,24
Cardaria pubescens,318
Cardaria pubescens var. elongata,16
Cardiospermum grandiflorum,2580
Carduus acanthoides,10633
Carduus arvensis,3
Carduus cinereus,6
Carduus crispus,84372
Carduus macrocephalus,59
Carduus marianus,3
Carduus nutans,47696
Carduus nutans ssp. leiophyllus,64
Carduus nutans ssp. macrocephalus,20
Carduus nutans ssp. macrolepis,65
Carduus nutans ssp. nutans,1591
Carduus nutans var. leiophyllus,64
