species,sub_tsn,acc_tsn,syn_author,syn_name,syn_tsn,acc_name,acc_author
Crepis bellidifolia,NA,NA,NA,NA,NA,NA,NA
Crinum calamistratum,NA,NA,NA,NA,NA,NA,NA
Crinum erubescens,NA,NA,NA,NA,NA,NA,NA
Crinum natans,NA,NA,NA,NA,NA,NA,NA
Crocus vernus,565103,565103,Ker Gawl.,Crocus vernus var. neapolitanus,534065,NA,NA
Crotalaria maypurensis,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne affinis,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne albida,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne aponogetifolia,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne bullosa,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne cordata,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne crispatula var. balansae,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne griffithii,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne hudoroi,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne lingua,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne longicauda,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne minima,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne moehlmannii,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne nurii,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne parva,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne pontederiifolia,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne pygmaea,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne retrospiralis,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne striolata,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne thwaitesii,NA,NA,NA,NA,NA,NA,NA
Cryptocoryne usteriana,NA,NA,NA,NA,NA,NA,NA
Cuscuta cesatiana,NA,NA,NA,NA,NA,NA,NA
Cymbidium insigne,NA,NA,NA,NA,NA,NA,NA
Cynoglossum creticum,NA,NA,NA,NA,NA,NA,NA
Cyperus digitatus subsp. auricomus,NA,NA,NA,NA,NA,NA,NA
Cyperus helferi,NA,NA,NA,NA,NA,NA,NA
Cyperus teneristolon,NA,NA,NA,NA,NA,NA,NA
Daboecia cantabrica,NA,NA,NA,NA,NA,NA,NA
Dactyloctenium australe,NA,NA,NA,NA,NA,NA,NA
Dactylorhiza lapponica,NA,NA,NA,NA,NA,NA,NA
Dahlia imperialis,NA,NA,NA,NA,NA,NA,NA
Danae racemosa,NA,NA,NA,NA,NA,NA,NA
Daucus glochidiatus,NA,NA,NA,NA,NA,NA,NA
Daucus muricatus,NA,NA,NA,NA,NA,NA,NA
Dendrophthoe,NA,NA,NA,NA,NA,NA,NA
Desmostachya bipinnata,NA,NA,NA,NA,NA,NA,NA
Dianthus cruentus,NA,NA,NA,NA,NA,NA,NA
Diascia barberae,NA,NA,NA,NA,NA,NA,NA
Dichorisandra thyrsiflora,NA,NA,NA,NA,NA,NA,NA
Digitaria aegyptiaca,NA,NA,NA,NA,NA,NA,NA
Dimorphotheca barberae,NA,NA,NA,NA,NA,NA,NA
Diplotaxis catholica,NA,NA,NA,NA,NA,NA,NA
Diplotaxis tenuisiliqua,NA,NA,NA,NA,NA,NA,NA
Disa bracteata,NA,NA,NA,NA,NA,NA,NA
Doryanthes palmeri,NA,NA,NA,NA,NA,NA,NA
Draba aizoides,NA,NA,NA,NA,NA,NA,NA
Dysphania glomulifera,NA,NA,NA,NA,NA,NA,NA
