genus,species,subspecies,status,source
Terminalia,catappa,,listed,FLEPPC Category 2
Terminalia,muelleri,,listed,FLEPPC Category 2
Tribulus,cistoides,,listed,FLEPPC Category 2
Urochloa,maxima,,listed,FLEPPC Category 2
Panicum,maximum,,listed,FLEPPC Category 2
Vernicia,fordii,,listed,FLEPPC Category 2
Vitex,trifolia,,listed,FLEPPC Category 2
Washingtonia,robusta,,listed,FLEPPC Category 2
Wisteria,sinensis,,listed,FLEPPC Category 2
Xanthosoma,sagittifolium ,,listed,FLEPPC Category 2
Ficus,microcarpa,var. fuyuensis,exception,FLEPPC
Lantana,camara ,,listed,FLEPPC Category 1
Spermacoce,neoterminalis ,,exception,FLEPPC
