Name,Accepted name,Climate match,Naturalized in FL,FL noxious weed list,Federal noxious weed list,Naturalized somewhere,Weedy history,Global occurrences
Echium plantagineum,Echium plantagineum,yes,no,no,no,yes,yes,51871
Ehrharta calycina,Ehrharta calycina,yes,no,no,no,yes,yes,8925
Ehrharta erecta,Ehrharta erecta,yes,no,no,no,yes,yes,9100
Ehrharta melicoides,Ehrharta melicoides,no,no,no,no,no,no,67
Ehrharta stipoides,Ehrharta stipoides,yes,no,no,no,yes,yes,54881
Microlaena stipoides,Ehrharta stipoides,yes,no,no,no,yes,yes,54829
Elaeagnus angustifolia,Elaeagnus angustifolia,yes,no,no,no,yes,yes,4691
Elaeagnus triflora,Elaeagnus triflora,no,no,no,no,no,no,576
Elatine hungarica,Elatine hungarica,yes,no,no,no,yes,yes,14
Elelis austriaca,Elelis austriaca,no,no,no,no,no,no,0
Eleocharis bonariensis,Eleocharis bonariensis,yes,no,no,no,yes,yes,697
Chlorocharis vivipara,Eleocharis vivipara,no,yes,no,no,no,no,0
Eleocharis curtisii,Eleocharis vivipara,no,yes,no,no,no,no,1
Eleocharis prolifera,Eleocharis vivipara,no,yes,no,no,no,no,2
Eleocharis vivipara,Eleocharis vivipara,no,yes,no,no,no,no,50
Scirpus viviparus,Eleocharis vivipara,no,yes,no,no,no,no,0
Trichophyllum proliferum,Eleocharis vivipara,no,yes,no,no,no,no,0
Trichophyllum viviparum,Eleocharis vivipara,no,yes,no,no,no,no,0
Elephantopus mollis,Elephantopus mollis,yes,no,no,no,yes,yes,3869
Eleutheranthera ruderalis,Eleutheranthera ruderalis,no,no,no,no,yes,yes,532
Acanthopanax sieboldianus,Eleutherococcus sieboldianus,yes,no,no,no,yes,yes,26
Aralia pentaphylla,Eleutherococcus sieboldianus,yes,no,no,no,yes,yes,0
Eleutherococcus pentaphyllus,Eleutherococcus sieboldianus,yes,no,no,no,yes,yes,4
Eleutherococcus sieboldianus,Eleutherococcus sieboldianus,yes,no,no,no,yes,yes,130
Elodea nuttallii,Elodea nuttallii,yes,no,no,no,yes,yes,70290
Elsholzia ciliata,Elsholzia ciliata,no,no,no,no,no,no,0
Elymus repens,Elymus repens,yes,no,no,no,yes,yes,381186
Elymus scabrus,Elymus scabrus,no,no,no,no,yes,yes,7
Emex australis,Emex australis,yes,no,yes,yes,yes,yes,954
Enarthrocarpus clavatus,Enarthrocarpus clavatus,yes,no,no,no,no,no,16
Enchylaena tomentosa,Enchylaena tomentosa,yes,no,no,no,yes,yes,30865
Epilobium brunnescens,Epilobium brunnescens,yes,no,no,no,yes,yes,12570
Epilobium dodonanei,Epilobium dodonanei,no,no,no,no,no,no,0
Equisetum camtschatcense,Equisetum camtschatcense,no,no,no,no,no,no,0
Equisetum japonicum,Equisetum japonicum,no,no,no,no,no,no,0
Equisetum palustre,Equisetum palustre,yes,no,no,no,no,yes,213686
Equisetum scirpoides,Equisetum scirpoides,no,no,no,no,no,yes,6593
Cynodon amabilis,Eragrostis amabilis,yes,yes,no,no,yes,yes,0
Eragrostis amabilis,Eragrostis amabilis,yes,yes,no,no,yes,yes,1895
Eragrostis amabilis var. duriuscula,Eragrostis amabilis,yes,yes,no,no,yes,yes,0
Eragrostis amabilis var. plumosa,Eragrostis amabilis,yes,yes,no,no,yes,yes,1
Eragrostis ciliaris var. patens,Eragrostis amabilis,yes,yes,no,no,yes,yes,2
Eragrostis lepida,Eragrostis amabilis,yes,yes,no,no,yes,yes,7
Eragrostis plumosa,Eragrostis amabilis,yes,yes,no,no,yes,yes,50
Eragrostis tenella,Eragrostis amabilis,yes,yes,no,no,yes,yes,0
Eragrostis tenella var. plumosa,Eragrostis amabilis,yes,yes,no,no,yes,yes,1
Megastachya amabilis,Eragrostis amabilis,yes,yes,no,no,yes,yes,0
Poa amabilis,Eragrostis amabilis,yes,yes,no,no,yes,yes,0
Poa lepida,Eragrostis amabilis,yes,yes,no,no,yes,yes,0
Poa plumosa,Eragrostis amabilis,yes,yes,no,no,yes,yes,0
Eragrostis bleeseri,Eragrostis cumingii,yes,yes,no,no,yes,yes,0
Eragrostis brownei,Eragrostis cumingii,yes,yes,no,no,yes,yes,1
Eragrostis bulbillifera,Eragrostis cumingii,yes,yes,no,no,yes,yes,27
Eragrostis cumingii,Eragrostis cumingii,yes,yes,no,no,yes,yes,2535
Eragrostis distans,Eragrostis cumingii,yes,yes,no,no,yes,yes,0
Eragrostis simplex,Eragrostis cumingii,yes,yes,no,no,yes,yes,2
Eragrostis cylindriflora,Eragrostis cylindriflora,no,no,no,no,yes,yes,1938
Eragrostis flaccida,Eragrostis lugens,no,yes,no,no,yes,yes,2
Eragrostis lugens,Eragrostis lugens,no,yes,no,no,yes,yes,1000
Eragrostis lugens f. pallida,Eragrostis lugens,no,no,no,no,yes,yes,0
Eragrostis lugens forma pallida,Eragrostis lugens,no,yes,no,no,yes,yes,0
Eragrostis lugens ssp. flaccida,Eragrostis lugens,no,no,no,no,yes,yes,0
Eragrostis lugens subsp. flaccida,Eragrostis lugens,no,yes,no,no,yes,yes,0
Eragrostis lugens var. glabrata,Eragrostis lugens,no,yes,no,no,yes,yes,0
Eragrostis lugens var. glabrescens,Eragrostis lugens,no,yes,no,no,yes,yes,1
Eragrostis pilosa var. lugens,Eragrostis lugens,no,yes,no,no,yes,yes,0
Poa lugens,Eragrostis lugens,no,yes,no,no,yes,yes,0
Eragrostis paniciformis,Eragrostis paniciformis,yes,no,no,no,yes,yes,139
Eragrostis delicatula,Eragrostis pectinacea,no,no,no,no,yes,yes,0
Eragrostis diffusa var. diffusa,Eragrostis pectinacea,no,no,no,no,yes,yes,0
Eragrostis pectinacea,Eragrostis pectinacea,no,no,no,no,yes,yes,5624
Eragrostis purshii var. delicatula,Eragrostis pectinacea,no,no,no,no,yes,yes,0
Eragrostis purshii var. pauciflora,Eragrostis pectinacea,no,no,no,no,yes,yes,0
Eragrostis tracyi,Eragrostis pectinacea,no,no,no,no,yes,yes,4
Poa diandra,Eragrostis pectinacea,no,no,no,no,yes,yes,0
Poa tenella,Eragrostis pectinacea,no,no,no,no,yes,yes,0
Eragrostis brizoides,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,0
Eragrostis caroliniana,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,4
Eragrostis cognata,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,0
Eragrostis diffusa,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,91
Eragrostis nuttalliana,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,0
Eragrostis parvula,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,0
Eragrostis pectinacea var. pectinacea,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,1034
Eragrostis pennsylvanica,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,0
Eragrostis pilosa var. caroliniana,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,0
Eragrostis purshii,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,1
Eragrostis purshii,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,1
Eragrostis purshii var. diffusa,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,1
Eragrostis purshii var. genuina,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,0
Eragrostis spectabilis var. sparsihirsuta,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,8
Eragrostis unionis,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,0
Poa caroliniana,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,0
Poa nuttallii,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,0
Poa pectinacea,Eragrostis pectinacea var. pectinacea,yes,yes,no,no,no,yes,0
Eragrostis plana,Eragrostis plana,yes,no,no,no,yes,yes,416
Eragrostis albescens,Eragrostis prolifera,no,yes,no,no,yes,yes,0
Eragrostis diversiflora,Eragrostis prolifera,no,yes,no,no,yes,yes,13
Eragrostis domingensis,Eragrostis prolifera,no,yes,no,no,yes,yes,102
Eragrostis fascicularis,Eragrostis prolifera,no,yes,no,no,yes,yes,0
Eragrostis gigantea,Eragrostis prolifera,no,yes,no,no,yes,yes,1
Eragrostis guineensis,Eragrostis prolifera,no,yes,no,no,yes,yes,0
Eragrostis haenkei,Eragrostis prolifera,no,yes,no,no,yes,yes,1
Eragrostis hagerupii,Eragrostis prolifera,no,yes,no,no,yes,yes,0
Eragrostis linearis,Eragrostis prolifera,no,yes,no,no,yes,yes,1
Eragrostis maxima,Eragrostis prolifera,no,yes,no,no,yes,yes,0
Eragrostis pallescens,Eragrostis prolifera,no,yes,no,no,yes,yes,0
Eragrostis prolifera,Eragrostis prolifera,no,yes,no,no,yes,yes,472
Eragrostis salzmannii,Eragrostis prolifera,no,yes,no,no,yes,yes,0
Poa domingensis,Eragrostis prolifera,no,yes,no,no,yes,yes,2
Poa linearis,Eragrostis prolifera,no,yes,no,no,yes,yes,0
Poa prolifera,Eragrostis prolifera,no,yes,no,no,yes,yes,0
Poa subulata,Eragrostis prolifera,no,yes,no,no,yes,yes,0
Eragrostis trichophora,Eragrostis trichophora,yes,no,no,no,no,yes,1038
Erechtites glomeratus,Erechtites glomeratus,no,no,no,no,no,no,0
Erechtites valerianifolius,Erechtites valerianifolius,yes,no,no,no,yes,no,2123
Erepsia heteropetala,Erepsia heteropetala,yes,no,no,no,yes,yes,38
Erigeron,Erigeron,no,no,no,no,no,no,532975
Erigeron acer,Erigeron acer,yes,no,no,no,yes,yes,9606
Aster annuus,Erigeron annuus,yes,yes,no,no,yes,yes,0
Aster stenactis,Erigeron annuus,yes,yes,no,no,yes,yes,0
Diplopappus annuus,Erigeron annuus,yes,yes,no,no,yes,yes,0
Diplopappus dubius,Erigeron annuus,yes,yes,no,no,yes,yes,0
Erigeron annuus,Erigeron annuus,yes,yes,no,no,yes,yes,26094
Erigeron annuus forma discoideus,Erigeron annuus,yes,yes,no,no,yes,yes,4
Erigeron annuus forma discoideus,Erigeron annuus,yes,yes,no,no,yes,yes,4
Erigeron annuus var. discoideus,Erigeron annuus,yes,yes,no,no,yes,yes,1
Erigeron annuus var. discoideus,Erigeron annuus,yes,yes,no,no,yes,yes,1
Erigeron annuus var. typicus,Erigeron annuus,yes,yes,no,no,yes,yes,1
Erigeron heterophyllus,Erigeron annuus,yes,yes,no,no,yes,yes,0
Phalacroloma acutifolium,Erigeron annuus,yes,yes,no,no,yes,yes,0
Phalacroloma annuum,Erigeron annuus,yes,yes,no,no,yes,yes,118
Stenactis annua,Erigeron annuus,yes,yes,no,no,yes,yes,18
Stenactis annua,Erigeron annuus,yes,yes,no,no,yes,yes,18
Stenactis annua,Erigeron annuus,yes,yes,no,no,yes,yes,18
Erigeron blakei,Erigeron blakei,no,no,no,no,yes,no,223
Erigeron karvinskianus,Erigeron karvinskianus,yes,no,no,no,yes,yes,10099
Erigeron septentrionale,Erigeron septentrionale,no,no,no,no,no,no,0
Doronicum ramosum,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Erigeron ambiguus,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Erigeron annuus subsp. septentrionalis,Erigeron strigosus,yes,yes,no,no,yes,yes,3272
Erigeron annuus subsp. septentrionalis,Erigeron strigosus,yes,yes,no,no,yes,yes,3272
Erigeron annuus subsp. strigosus,Erigeron strigosus,yes,yes,no,no,yes,yes,283
Erigeron annuus var. ramosus,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Erigeron integrifolius,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Erigeron obscurus,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Erigeron ramosus,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Erigeron ramosus,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Erigeron ramosus forma discoideus,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Erigeron ramosus var. beyrichii,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Erigeron ramosus var. discoideus,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Erigeron ramosus var. integrifolius,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Erigeron ramosus var. septentrionalis,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Erigeron strigosus,Erigeron strigosus,yes,yes,no,no,yes,yes,7859
Erigeron strigosus forma discoideus,Erigeron strigosus,yes,yes,no,no,yes,yes,2
Erigeron strigosus var. beyrichii,Erigeron strigosus,yes,yes,no,no,yes,yes,14
Erigeron strigosus var. discoideus,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Erigeron strigosus var. eligulatus,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Erigeron strigosus var. gracilis,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Erigeron strigosus var. septentrionalis,Erigeron strigosus,yes,yes,no,no,yes,yes,3847
Erigeron strigosus var. septentrionalis,Erigeron strigosus,yes,yes,no,no,yes,yes,3847
Erigeron strigosus var. typicus,Erigeron strigosus,yes,yes,no,no,yes,yes,3
Phalacroloma beyrichii,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Phalacroloma septentrionale,Erigeron strigosus,yes,no,no,no,yes,yes,24
Stenactis alabamensis,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Stenactis ambigua,Erigeron strigosus,yes,yes,no,no,yes,yes,1
Stenactis annua subsp. septentrionalis,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Stenactis annua subsp. strigosa,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Stenactis beyrichii,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Stenactis eriolepis,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Stenactis ramosa,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Stenactis septentrionalis,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Stenactis strigosa,Erigeron strigosus,yes,yes,no,no,yes,yes,78
Tessenia obscura,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Tessenia ramosa,Erigeron strigosus,yes,yes,no,no,yes,yes,0
Erigeron annuus ssp. strigosus,Erigeron strigosus var. strigosus,no,no,no,no,no,no,283
Erigeron strigosus var. strigosus,Erigeron strigosus var. strigosus,no,no,no,no,no,no,650
Erigeron traversii,Erigeron strigosus var. strigosus,no,no,no,no,no,no,0
Crataegus bibas,Eriobotrya japonica,yes,yes,no,no,yes,yes,0
Eriobotrya japonica,Eriobotrya japonica,yes,yes,no,no,yes,yes,3148
Mespilus japonica,Eriobotrya japonica,yes,yes,no,no,yes,yes,0
Photinia japonica,Eriobotrya japonica,yes,yes,no,no,yes,yes,2
Pyrus bibas,Eriobotrya japonica,yes,yes,no,no,yes,yes,0
Eriocaulon setaceum,Eriocaulon setaceum,no,no,no,no,no,yes,788
Eriocephalus africanus,Eriocephalus africanus,no,no,no,no,yes,yes,817
Eriochloa succinta,Eriochloa succinta,yes,no,no,no,no,no,0
Eriolobus trilobatus,Eriolobus trilobatus,yes,no,no,no,no,no,50
Erodium botrys,Erodium botrys,yes,no,no,no,yes,yes,6028
Erodium aethiopicum,Erodium cicutarium ssp. jacquinianum,yes,no,no,no,yes,no,1183
Erodium cicutarium ssp. jacquinianum,Erodium cicutarium ssp. jacquinianum,yes,no,no,no,yes,no,11
Erodium cicutarium ssp. jacquinianum,Erodium cicutarium ssp. jacquinianum,yes,no,no,no,yes,no,11
Erodium hoefftianum,Erodium hoefftianum,yes,no,no,no,no,no,17
Erodium manescavii,Erodium manescavii,no,no,no,no,no,yes,411
Erodium oxyrhinchum,Erodium oxyrhinchum,no,no,no,no,no,no,0
Eryngium tricuspidatum,Eryngium tricuspidatum,yes,no,no,no,no,yes,302
Erysimum hungaricum,Erysimum hungaricum,no,no,no,no,yes,yes,14
Erysimum wahlenbergii,Erysimum hungaricum,no,no,no,no,yes,yes,1
Erysimum perovskianum,Erysimum perovskianum,yes,no,no,no,no,no,0
Erythrina berteroana,Erythrina berteroana,yes,no,no,no,yes,yes,457
Erythrina poeppigiana,Erythrina poeppigiana,yes,no,no,no,yes,yes,474
Etlingera elatior,Etlingera elatior,yes,no,no,no,yes,yes,550
Eucalyptus,Eucalyptus,yes,no,no,no,no,no,1150523
Eucalyptus camaldulensus,Eucalyptus camaldulensus,yes,no,no,no,no,no,0
Eucalyptus cladocalyx,Eucalyptus cladocalyx,yes,no,no,no,yes,yes,2112
Eucalyptus globulus,Eucalyptus globulus,yes,no,no,no,yes,yes,131326
Eucalyptus gomphocephalus,Eucalyptus gomphocephalus,yes,no,no,no,no,yes,0
Eucalyptus paniculata,Eucalyptus paniculata,yes,no,no,no,yes,yes,3694
Eucalyptus racemosa,Eucalyptus racemosa,no,no,no,no,no,no,9548
Eucalyptus sclerophylla,Eucalyptus sclerophylla,yes,no,no,no,no,no,1
Eucalyptus sideroxylon,Eucalyptus sideroxylon,yes,no,no,no,yes,yes,3365
Euonymus fortunei,Euonymus fortunei,yes,no,no,no,yes,yes,3844
Euonymus hederaceus,Euonymus fortunei,yes,no,no,no,yes,yes,447
Euonymus japonicus,Euonymus japonicus,yes,no,no,no,yes,yes,1661
Eupatorium trapezoideum,Eupatorium trapezoideum,yes,no,no,no,no,yes,0
Euphorbia carpatica,Euphorbia carpatica,no,no,no,no,no,no,1
Anisophyllum chamaesyce,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Anisophyllum vaticanum,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Chamaesyce canescens,Euphorbia chamaesyce,yes,no,no,no,yes,yes,270
Chamaesyce canescens ssp. glabra,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Chamaesyce canescens ssp. massiliensis,Euphorbia chamaesyce,yes,no,no,no,yes,yes,14
Chamaesyce chamaesyce,Euphorbia chamaesyce,yes,no,no,no,yes,yes,3
Chamaesyce massiliensis,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Chamaesyce vulgaris,Euphorbia chamaesyce,yes,no,no,no,yes,yes,115
Chamaesyce vulgaris ssp. massiliensis,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Ditritra rotundifolia,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Euphorbia canescens,Euphorbia chamaesyce,yes,no,no,no,yes,yes,21
Euphorbia chamaesyce,Euphorbia chamaesyce,yes,no,no,no,yes,yes,1730
Euphorbia chamaesyce var. canescens,Euphorbia chamaesyce,yes,no,no,no,yes,yes,14
Euphorbia chamaesyce var. glabra,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Euphorbia chamaesyce var. glabriuscula,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Euphorbia chamaesyce var. massiliensis,Euphorbia chamaesyce,yes,no,no,no,yes,yes,7
Euphorbia chamaesyce var. massiliensis,Euphorbia chamaesyce,yes,no,no,no,yes,yes,7
Euphorbia chamaesyce var. pilosa,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Euphorbia libassii,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Euphorbia massiliensis,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Euphorbia perforata,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Euphorbia pinnulosa,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Euphorbia prostrata,Euphorbia chamaesyce,yes,no,no,no,yes,yes,7537
Euphorbia vaticana,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Tithymalus chamaesyce,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Tithymalus nummularius,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Xamesike palestina,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Xamesike vulgaris,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Xamesike xamobala,Euphorbia chamaesyce,yes,no,no,no,yes,yes,0
Euphorbia esula,Euphorbia esula,yes,no,no,no,yes,yes,38016
Euphorbia glyptosperma,Euphorbia glyptosperma,no,no,no,no,yes,yes,1437
Anisophyllum humistratum,Euphorbia humistrata,yes,yes,no,no,yes,yes,0
Chamaesyce humistrata,Euphorbia humistrata,yes,yes,no,no,yes,yes,27
Euphorbia humistrata,Euphorbia humistrata,yes,yes,no,no,yes,yes,58
Anisophyllum hypericifolium,Euphorbia hypericifolia,no,yes,no,no,yes,yes,0
Chamaesyce glomerifera,Euphorbia hypericifolia,no,yes,no,no,yes,yes,18
Chamaesyce hypericifolia,Euphorbia hypericifolia,no,yes,no,no,yes,yes,251
Ditritra obliqua,Euphorbia hypericifolia,no,no,no,no,yes,yes,0
Euphorbia androsaemoides,Euphorbia hypericifolia,no,yes,no,no,yes,yes,0
Euphorbia bifida,Euphorbia hypericifolia,no,no,no,no,yes,yes,1773
Euphorbia glomerifera,Euphorbia hypericifolia,no,yes,no,no,yes,yes,73
Euphorbia hypericifolia,Euphorbia hypericifolia,no,yes,no,no,yes,yes,2397
Euphorbia ovalifolia,Euphorbia hypericifolia,no,yes,no,no,yes,yes,34
Euphorbia papilligera,Euphorbia hypericifolia,no,no,no,no,yes,yes,0
Xamesike hypericifolia,Euphorbia hypericifolia,no,yes,no,no,yes,yes,0
Euphorbia lacei,Euphorbia lacei,no,no,no,no,yes,no,21
Euphorbia lagascae,Euphorbia lagascae,yes,no,no,no,no,yes,493
Anisophyllum lasiocarpum,Euphorbia lasiocarpa,no,yes,no,no,yes,yes,0
Chamaesyce lasiocarpa,Euphorbia lasiocarpa,no,yes,no,no,yes,yes,210
Euphorbia hypericifolia var. lasiocarpa,Euphorbia lasiocarpa,no,yes,no,no,yes,yes,0
Euphorbia lasiocarpa,Euphorbia lasiocarpa,no,yes,no,no,yes,yes,968
Euphorbia leptocaula,Euphorbia leptocaula,yes,no,no,no,no,yes,45
Anisophyllum maculatum,Euphorbia maculata,yes,yes,no,no,yes,yes,0
Chamaesyce jovetii,Euphorbia maculata,yes,no,no,no,yes,yes,0
Chamaesyce maculata,Euphorbia maculata,yes,yes,no,no,yes,yes,1650
Chamaesyce mathewsii,Euphorbia maculata,yes,yes,no,no,yes,yes,2
Chamaesyce pseudonutans,Euphorbia maculata,yes,no,no,no,yes,yes,0
Chamaesyce supina,Euphorbia maculata,yes,yes,no,no,yes,yes,1
Chamaesyce supina,Euphorbia maculata,yes,yes,no,no,yes,yes,1
Chamaesyce tracyi,Euphorbia maculata,yes,yes,no,no,yes,yes,1
Euphorbia depressa,Euphorbia maculata,yes,yes,no,no,yes,yes,0
Euphorbia hypericifolia var. maculata,Euphorbia maculata,yes,yes,no,no,yes,yes,0
Euphorbia jovetii,Euphorbia maculata,yes,no,no,no,yes,yes,0
Euphorbia littoralis,Euphorbia maculata,yes,yes,no,no,yes,yes,0
Euphorbia maculata,Euphorbia maculata,yes,yes,no,no,yes,yes,16921
Euphorbia maculata var. detonsa,Euphorbia maculata,yes,no,no,no,yes,yes,0
Euphorbia maculata var. parvula,Euphorbia maculata,yes,no,no,no,yes,yes,0
Euphorbia meganaesos,Euphorbia maculata,yes,yes,no,no,yes,yes,2
Euphorbia reichenbachiana,Euphorbia maculata,yes,no,no,no,yes,yes,0
Euphorbia supina,Euphorbia maculata,yes,yes,no,no,yes,yes,201
Euphorbia thymifolia,Euphorbia maculata,yes,yes,no,no,yes,yes,1745
Tithymalus maculatus,Euphorbia maculata,yes,yes,no,no,yes,yes,0
Xamesike depressa,Euphorbia maculata,yes,yes,no,no,yes,yes,0
Xamesike littoralis,Euphorbia maculata,yes,yes,no,no,yes,yes,0
Xamesike maculata,Euphorbia maculata,yes,yes,no,no,yes,yes,0
Xamesike supina,Euphorbia maculata,yes,yes,no,no,yes,yes,0
Euphorbia myrsinites,Euphorbia myrsinites,no,no,no,no,yes,yes,939
Euphorbia pseudograntii,Euphorbia pseudograntii,no,no,no,no,no,no,3
Euphorbia rigida,Euphorbia rigida,no,no,no,no,yes,yes,142
Euphorbia sareptana,Euphorbia sareptana,yes,no,no,no,yes,no,7
Euphorbia foetida,Euphorbia stricta,yes,no,no,no,yes,yes,0
Euphorbia micrantha,Euphorbia stricta,yes,no,no,no,yes,yes,0
Euphorbia serrulata,Euphorbia stricta,yes,no,no,no,yes,yes,0
Euphorbia serrulata,Euphorbia stricta,yes,no,no,no,yes,yes,0
Euphorbia serrulata,Euphorbia stricta,yes,no,no,no,yes,yes,0
Euphorbia stricta,Euphorbia stricta,yes,no,no,no,yes,yes,17929
Euphorbia stricta f. pubescens,Euphorbia stricta,yes,no,no,no,yes,yes,0
Euphorbia stricta ssp. micrantha,Euphorbia stricta,yes,no,no,no,yes,yes,0
Euphorbia stricta var. pubescens,Euphorbia stricta,yes,no,no,no,yes,yes,0
Galarhoeus micranthus,Euphorbia stricta,yes,no,no,no,yes,yes,0
Galarhoeus strictus,Euphorbia stricta,yes,no,no,no,yes,yes,0
Tithymalus micranthus,Euphorbia stricta,yes,no,no,no,yes,yes,0
Tithymalus serrulatus,Euphorbia stricta,yes,no,no,no,yes,yes,0
Tithymalus strictus,Euphorbia stricta,yes,no,no,no,yes,yes,0
Euphorbia talaina,Euphorbia talaina,no,no,no,no,no,no,0
Euphorbia terracina,Euphorbia terracina,yes,no,no,yes,yes,yes,7343
Euphorbia trigona,Euphorbia trigona,yes,no,no,no,yes,yes,18
Euphorbia umbellata,Euphorbia umbellata,yes,no,no,no,yes,no,76
Euphrasia fennica,Euphrasia fennica,no,no,no,no,no,no,176
Euphrasia vernalis,Euphrasia vernalis,no,no,no,no,no,no,3525
Aster chasei,Eurybia schreberi,no,no,no,no,yes,yes,5
Aster curvescens,Eurybia schreberi,no,no,no,no,yes,yes,3
Aster glomeratus,Eurybia schreberi,no,no,no,no,yes,yes,0
Aster schreberi,Eurybia schreberi,no,no,no,no,yes,yes,56
Eurybia glomerata,Eurybia schreberi,no,no,no,no,yes,yes,0
Eurybia schreberi,Eurybia schreberi,no,no,no,no,yes,yes,298
Euryops chrysanthemoides,Euryops chrysanthemoides,yes,yes,no,no,yes,yes,544
Gamolepis chrysanthemoides,Euryops chrysanthemoides,yes,yes,no,no,yes,yes,6
Exochorda racemosa,Exochorda racemosa,yes,no,no,no,yes,yes,327
Falcataria moluccana,Falcataria moluccana,yes,no,no,no,yes,yes,465
Fallopia multiflora var. multiflora,Fallopia multiflora var. multiflora,no,no,no,no,no,no,1
Fallopia sachalinensis,Fallopia sachalinensis,yes,no,no,no,yes,yes,6286
Fallopia x bohemica,Fallopia x bohemica,yes,no,no,no,no,no,1162
Farfugium japonicum,Farfugium japonicum,no,no,no,no,yes,yes,516
Ligularia tussilaginea,Farfugium japonicum,no,no,no,no,yes,yes,13
Fascicularia bicolor,Fascicularia bicolor,yes,no,no,no,yes,yes,35
Fatoua villosa,Fatoua villosa,yes,yes,no,no,yes,yes,1582
Urtica japonica,Fatoua villosa,yes,yes,no,no,yes,yes,0
Urtica villosa,Fatoua villosa,yes,yes,no,no,yes,yes,0
Fedia cornucopiae,Fedia cornucopiae,yes,no,no,no,no,yes,915
Ferulago campestris,Ferulago galbanifera,no,no,no,no,no,yes,425
Ferulago galbanifera,Ferulago galbanifera,no,no,no,no,no,yes,111
Ferulago sylvatica,Ferulago sylvatica,no,no,no,no,no,no,69
Festuca falax,Festuca falax,yes,no,no,no,no,no,0
Avena muralis,Festuca myuros,no,yes,no,no,yes,yes,0
Distomischus myuros,Festuca myuros,no,yes,no,no,yes,yes,0
Festuca muralis,Festuca myuros,no,yes,no,no,yes,yes,0
Festuca myuros,Festuca myuros,no,yes,no,no,yes,yes,0
Festuca myuros forma major,Festuca myuros,no,yes,no,no,yes,yes,0
Festuca myuros var. eumyuros,Festuca myuros,no,yes,no,no,yes,yes,0
