name,occurrences
Bromus squarrosus var. patulus,0
Bromus strictus,0
Bromus unioloides,562
Bromus unioloides forma chamogama,0
Bromus unioloides forma cleistogama,0
Bromus unioloides forma pseudoparviflorus,0
Bromus unioloides subforma achalensis,0
Bromus unioloides var. glaucescens,0
Bromus unioloides var. haenkeanus,0
Bromus unioloides var. humilis,0
Bromus unioloides var. sanjuaninus,0
Bromus unioloides var. virens,0
Bromus vestitus,4
Bromus willdenowii,589
Brunyera biennis,0
Bryophyllum fedtschenkoi,146
Buda marina,0
Buda marina var. leiosperma,0
Buda marina var. minor,0
Buglossoides arvensis forma incrassata,1
Buglossoides arvensis subsp. gasparrinii,115
Buglossoides arvensis subsp. incrassata,0
Buglossoides arvensis subsp. occidentalis,11
Buglossoides arvensis subsp. permixta,78
Buglossoides arvensis subsp. sibthorpiana,0
Buglossoides arvensis var. caerulescens,0
Buglossoides gasparrinii,50
Buglossoides incrassata,761
Buglossoides permixta,0
Cactus cochenillifer,0
Cactus humifusus,0
Cactus lucidus,0
Cactus opuntia var. nana,0
Cactus pereskia,0
Caladium odoratissimum,0
Caladium odorum,0
Calamagrostis nigricans,0
Calchas acuminata,0
Calchas atropurpureus,0
Calchas crispipilus,1
Calchas scutellarioides,0
Calchas scutellarioides var. angustifolia,0
Calchas scutellarioides var. crispipila,0
Calchas scutellarioides var. limnophila,0
Calophyllum bintagor,0
Calophyllum inophyllum forma oblongatum,0
Calophyllum inophyllum forma obovatum,0
Calophyllum inophyllum var. takamaka,1
Calydermos erosus,0
Capraria gratioloides,0
Carara didyma,0
Cardamine americana,0
Cardamine arenicola,0
Cardamine flexuosa var. gracilis,0
Cardamine parviflora var. arenicola,305
Cardia amplexicaulis,0
Cardiaca arvensis,0
Carex allegheniensis,17
Carex debilis subsp. pubera,0
Carex debilis subsp. rudgei,59
Carex debilis var. intercursa,3
Carex debilis var. interjecta,2
Carex debilis var. prolixa,0
Carex debilis var. pubera,6
Carex debilis var. rudgei,488
Carex debilis var. strictior,2
Carex debilis var. typica,0
Carex flexuosa,6
Carex folliculata var. intumescens,0
Carex folliculata var. major,0
Carex grayi var. rariflora,0
Carex intumescens forma ventriosa,1
Carex intumescens var. fernaldii,171
Carex lagopodioides,5
Carex scoparia var. lagopodioides,0
Carex tenuis,0
Carex tenuis var. erectior,0
Carex tenuis var. interjecta,0
Carex tribuloides var. sangamonensis,58
Carota sativa,0
Carota sylvestris,0
Carum majus,0
Cascabela peruviana,1
Cascabela thevetia,4320
Caucalis carnosa,0
Caucalis carota,0
