Name_submitted	Name_matched	Author_matched	Overall_score	Taxonomic_status	Accepted_name	Accepted_author	Accepted_family	Source	Warnings	Accepted_name_lsid
Alyssum simplex	Alyssum simplex		1	Accepted	Alyssum simplex	Rudolph	Brassicaceae	tpl	 	
Alyssum simplex	Alyssum simplex		1	Accepted	Alyssum simplex	Rudolphi	Brassicaceae	tropicos;usda	 	
Amaranthus graecizans	Amaranthus graecizans		1	Accepted	Amaranthus graecizans	L.	Amaranthaceae	tpl;tropicos;usda	 [Ambiguous match] 	
Amaranthus graecizans	Amaranthus graecizans		1	Synonym	Amaranthus albus	L.	Amaranthaceae	tpl	 [Ambiguous match] 	
Amaranthus graecizans	Amaranthus graecizans		1	Accepted	Amaranthus graecizans	Cutanda	Amaranthaceae	tropicos	 [Ambiguous match] 	
Amaranthus graecizans	Amaranthus graecizans		1	Synonym	Amaranthus blitoides	S. Watson	Amaranthaceae	usda	 	
Amaranthus hybridus	Amaranthus hybridus		1	Accepted	Amaranthus hybridus	L.	Amaranthaceae	tpl;tropicos;usda	 	
Amaranthus hybridus	Amaranthus hybridus		1	Synonym	Amaranthus hypochondriacus	L.	Amaranthaceae	tpl	 	
Amaranthus hybridus	Amaranthus hybridus		1	No opinion				tpl	 	
Amaranthus tricolor	Amaranthus tricolor		1	Accepted	Amaranthus tricolor	L.	Amaranthaceae	tpl;tropicos;usda	 	
Ammi majus	Ammi majus		1	Accepted	Ammi majus	L.	Apiaceae	tpl;tropicos;usda	 	
Ammi majus	Ammi majus		1	Synonym	Discopleura capillacea	(Michx.) DC.	Apiaceae	tpl	 	
Ammophila arenaria	Ammophila arenaria		1	Accepted	Ammophila arenaria	(L.) Link	Poaceae	tpl;tropicos;usda	 	
Annona cherimola	Annona cherimola		1	Accepted	Annona cherimola	Mill.	Annonaceae	tpl;tropicos;usda	 	
Annona muricata	Annona muricata		1	Accepted	Annona muricata	L.	Annonaceae	tpl;tropicos;usda	 	
Annona muricata	Annona muricata		1	Illegitimate				tropicos	 	
Anthoxanthum odoratum	Anthoxanthum odoratum		1	Accepted	Anthoxanthum odoratum	L.	Poaceae	tpl;tropicos;usda	 	
Antidesma bunias	Antidesma bunias		1	Synonym	Antidesma bunius	(L.) Spreng.	Phyllanthaceae	usda	 	
Anubias afzelii	Anubias afzelii		1	Accepted	Anubias afzelii	Schott	Araceae	tpl;tropicos	 	
Aponogeton desertorum	Aponogeton desertorum		1	Accepted	Aponogeton desertorum	Zeyh. ex Spreng.	Aponogetonaceae	tpl	 	
Aponogeton desertorum	Aponogeton desertorum		1	No opinion				tropicos	 	
