Fallopia sachalinensis
Filago gallica
Flemingia macrophylla
Flemingia strobilifera
Fragaria vesca
Frangula alnus
Fumaria densiflora
Galega officinalis
Galinsoga parviflora
Genista monspessulana
Genista stenopetala
Geoffroea decorticans
Geranium robertianum
Glyceria declinata
Glyceria fluitans
Gmelina arborea
Gomphocarpus physocarpus
Goniolimon tataricum
Gracilaria salicornia
Gymnocoronis spilanthoides
Haematoxylum campechianum
Hakea drupacea
Hakea gibbosa
Hakea sericea
Halophila stipulacea
Hedychium flavescens
Hedychium gardnerianum
Helianthus annuus
Helminthotheca echioides
Heterotis rotundifolia
Hevea brasiliensis
Hovenia dulcis
Hura crepitans
Hyoscyamus niger
Hyoscyamus pusillus
Hypericum androsaemum
Hypericum perforatum
Hyptis suaveolens
Ipomoea cairica
Ipomoea carnea
Ipomoea hildebrandtii
Ipomoea indica
Ipomoea ochracea
Isatis tinctoria
Ischaemum rugosum
Ischaemum timorense
Ixora finlaysoniana
Jasminum dichotomum
Kalanchoe beharensis
Kappaphycus
Kochia indica
Kyllinga brevifolia
Kyllinga polyphylla
Lagarosiphon major
Lampranthus multiradiatus
Lappula barbata
Lathyrus setifolius
Lawsonia inermis
Lepidium draba
Lepidium graminifolium
Lepidium latifolium
Leptospermum scoparium
Leucaena diversifolia
Ligustrum obtusifolium
Ligustrum robustum subsp. walkeri
Ligustrum vulgare
Limnobium laevigatum
Linaria dalmatica
Lolium multiflorum
Lolium rigidum
Lonchocarpus cyanescens
Lonchocarpus sericeus
Lonicera confusa
Lotus cytisoides
Lotus drepanocarpus
Ludwigia hyssopifolia
Luffa acutangula
Lycium ferocissimum
Malva pusilla
Malva sylvestris
Marrubium vulgare
Marsilea minuta
Martynia annua
Matthiola longipetala
Matthiola lunata
Medicago coronata
Medicago italica
Medicago monspeliaca
Medicago murex
Medicago rigidula
Melastoma malabathricum
Mentha aquatica
Mentha cervina
Mentha pulegium
Merremia peltata
Mesembryanthemum crystallinum
Miconia calvescens
Microlaena stipoides
Mimosa diplotricha
Montanoa hibiscifolia
Moorochloa eruciformis
Moraea collina
Moraea miniata
Morus nigra
Muscari neglectum
Myosotis arvensis
Myroxylon balsamum
Nasturtium microphyllum
Neomarica caerulea
Neonotonia wightii
Nicandra physalodes
Nigella hispanica
Noaea mucronata
Nypa fruticans
Ocimum tenuiflorum
Olea europaea subsp. cuspidata
Olea europaea subsp. europaea
Ononis natrix
Onopordum acaulon
Oplismenus hirtellus subsp. undulatifolius
Opuntia aurantiaca
Opuntia cochenillifera
Opuntia elatior
Opuntia engelmannii
Opuntia humifusa
Opuntia microdasys
Ornithopus compressus
Orobanche
Orobanche cernua
Orobanche crenata
Orobanche cumana
Orobanche ramosa
Oryza barthii
Oryza glaberrima
Oryza longistaminata
Oryza punctata
Osteospermum jucundum
Oxalis corymbosa
Oxalis latifolia
Oxalis pes-caprae
Papaver dubium
Papaver hybridum
Parentucellia viscosa
Parkia biglobosa
Paspalidium geminatum
Paspalum scrobiculatum
Passiflora maliformis
Passiflora subpeltata
Passiflora tarminiana
