Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Pilea microphylla,Pilea,,microphylla,NA,NA,,,kew-2546452,TRUE,1.1,Accepted,Urticaceae,Pilea,,microphylla,,,(L.) Liebm.,kew-2546452,Accepted,FALSE,FALSE,FALSE,2021-08-03
Pilea peperomioides,Pilea,,peperomioides,NA,NA,,,tro-33400719,TRUE,1.1,Accepted,Urticaceae,Pilea,,peperomioides,,,Diels,tro-33400719,Accepted,FALSE,FALSE,FALSE,2021-08-03
Pimpinella peregrina,Pimpinella,,peregrina,NA,NA,,,kew-2403156,TRUE,1.1,Accepted,Apiaceae,Pimpinella,,peregrina,,,L.,kew-2403156,Accepted,FALSE,FALSE,FALSE,2021-08-03
Plantago alpina,Plantago,,alpina,NA,NA,,,kew-2571391,TRUE,1.1,Accepted,Plantaginaceae,Plantago,,alpina,,,L.,kew-2571391,Accepted,FALSE,FALSE,FALSE,2021-08-03
Plantago bellardii,Plantago,,bellardii,NA,NA,,,kew-2571319,TRUE,1.1,Accepted,Plantaginaceae,Plantago,,bellardii,,,All.,kew-2571319,Accepted,FALSE,FALSE,FALSE,2021-08-03
Plantago holosteum,Plantago,,holosteum,NA,NA,,,kew-2557174,TRUE,1.1,Synonym,Plantaginaceae,Plantago,,subulata,,,L.,kew-2570774,Accepted,FALSE,FALSE,FALSE,2021-08-03
Plantago patagonica,Plantago,,patagonica,NA,NA,,,tro-25200032,TRUE,1.1,Accepted,Plantaginaceae,Plantago,,patagonica,,,Jacq.,tro-25200032,Accepted,FALSE,FALSE,FALSE,2021-08-03
Poa jubata,Poa,,jubata,NA,NA,,,kew-436219,TRUE,1.1,Accepted,Poaceae,Poa,,jubata,,,A.Kern.,kew-436219,Accepted,FALSE,FALSE,FALSE,2021-08-03
Polycarpon tetraphyllum subsp. diphyllum,Polycarpon,,tetraphyllum,NA,subsp.,diphyllum,,kew-2870086,TRUE,1.1,Accepted,Caryophyllaceae,Polycarpon,,tetraphyllum,subsp.,diphyllum,(Cav.) O.Bolòs & Font Quer,kew-2870086,Accepted,FALSE,FALSE,FALSE,2021-08-03
Polygonatum hirtum,Polygonatum,,hirtum,NA,NA,,,kew-284061,TRUE,1.1,Accepted,Asparagaceae,Polygonatum,,hirtum,,,(Bosc ex Poir.) Pursh,kew-284061,Accepted,FALSE,FALSE,FALSE,2021-08-03
