acc_name,synonyms,occurrences,jk_notes
Avena barbata,"Avena barbata, Avena almeriensis, Avena deusta, Avena hoppeana, Avena sallentiana, Avena sesquitertia, Avena strigosa ssp. barbata, Avena sativa var. barbata, Avena barbata subvar. hirsuta",85037,
Papaver dubium,,84228,
Carduus crispus,,83302,
Solidago canadensis,,82801,Similar problem to Calystegia sepium. S. canadansis var. scabra is native https://florida.plantatlas.usf.edu/Plant.aspx?id=3031 Possible synonymy/taxonomy/nomenclature problem here as well.
Malva moschata,"Malva moschata, Malva moschata var. rosea",81528,
Spergularia rubra,"Spergularia rubra, Tissa rubra, Spergularia rubra var. perennans",80309,
Senecio sylvaticus,"Senecio sylvaticus, Senecio sylvatica",80270,
Avena fatua,"Avena fatua, Avena fatua var. glabrata, Avena fatua var. vilis, Anelytrum avenaceum, Avena intermedia, Avena lanuginosa, Avena meridionalis, Avena patens, Avena pilosa, Avena septentrionalis, Avena vilis, Avena fatua ssp. meridionalis, Avena fatua var. intermedia, Avena sativa var. fatua, Avena sativa var. sericea",78408,
Poa compressa,"Poa compressa, Paneion compressum, Poa compressa var. sylvestris, Poa compressa f. depauperata",74803,
Scrophularia auriculata,,72582,
Myosoton aquaticum,"Myosoton aquaticum, Alsine aquatica, Cerastium aquaticum, Malachium aquaticum, Stellaria aquatica",72493,
Salix fragilis,,71717,
Elodea nuttallii,"Elodea nuttallii, Elodea nuttalli, Elodea columbiana, Anacharis occidentalis, Elodea occidentalis, Anacharis nuttallii, Elodea minor, Philotria angustifolia, Philotria minor, Philotria nuttallii, Philotria occidentalis, Udora verticillata var. minor",70290,Native to US. Imperiled status in 2 states. Invasive elsewhere.
Filipendula vulgaris,"Filipendula vulgaris, Filipendula hexapetala, Spiraea filipendula",67784,
Alopecurus myosuroides,"Alopecurus myosuroides, Alopecurus agrestis, Alopecurus purpurascens, Tozzettia agrestis",67675,
Potentilla verna,"Potentilla neumanniana, Potentilla tabernaemontani",64216,
Hydrocharis morsus-ranae,,61866,
Berberis vulgaris,,61176,
Myosotis ramosissima,,59385,
Impatiens parviflora,,57764,
Ehrharta stipoides,Microlaena stipoides,54829,
Carduus nutans,"Carduus nutans, Carduus thoermeri, Carduus macrocephalus, Carduus macrolepis, Carduus nutans ssp. leiophyllus, Carduus nutans ssp. macrocephalus, Carduus nutans ssp. macrolepis, Carduus nutans ssp. nutans, Carduus nutans var. leiophyllus, Carduus nutans var. macrocephalus, Carduus nutans var. vestitus",53497,
Rhododendron tomentosum,"Rhododendron tomentosum, Ledum palustre, Ledum decumbens, Ledum palustre ssp. decumbens, Rhododendron tomentosum ssp. subacrticum, Rhododendron tomentosum ssp. subarcticum, Ledum palustre var. decumbens",53221,
