name,occurrences_new
Agropyron repens f. trichorrhachis,1
Agropyron repens subvar. pubescens,1
Agropyron repens var. aristatum,21
Agropyron repens var. pubescens,1
Agropyron repens var. repens,134
Agropyron repens var. subulatum,9
Agropyron vaillantianum,6
Agrostis alba,676
Agrostis alba f. alba,4
Agrostis alba ssp. vulgaris,9
Agrostis alba var. alba,4
Agrostis alba var. aristata,1
Agrostis alba var. silvatica,1
Agrostis alba var. vulgaris,9
Agrostis avenacea,324
Agrostis capillaris,688048
Agrostis capillaris var. aristata,20
Agrostis capillaris var. pumila,4
Agrostis diffusa,1
Agrostis filiformis,1
Agrostis hiemalis,1886
Agrostis hyemalis,1886
Agrostis hyemalis var. hyemalis,69
Agrostis hyemalis var. laxiflora,7
Agrostis interrupta,15
Agrostis laxiflora,1
Agrostis minima,4
Agrostis polymorpha,10
Agrostis spica-venti ssp. interrupta,2
Agrostis spica-venti var. interrupta,2
Agrostis stricta,2
Agrostis tenella,2
Agrostis tenuis,7310
Agrostis tenuis f. aristata,4
Agrostis tenuis var. aristata,4
Agrostis tenuis var. tenuis,2
Agrostis varians,3
Agrostis vulgaris,136
Agrostis vulgaris var. pumila,4
Aira ambigua,1
Aira aristulata,1
Aira caespitosa,30
Aira cespitosa,1
Aizoon canariense,759
Ajuga chamaepitis,17575
Ajuga pyramidalis,51380
Akebia quinata,2963
Akebia quinata forma diplochlamys,1
Akebia quinata forma polyphylla,2
Akebia quinata forma viridiflora,2
Akebia quinata var. diplochlamys,1
Akebia quinata var. polyphylla,2
Albizia carbonaria,994
Albizia chinensis,362
Albizia falcata,2
Albizia falcataria,32
Albizia procera,453
Albizia stipulata,1
Alchemilla gibberulosa,102
Alchemilla glabricaulis,342
Alchemilla glaucescens,25670
Alchemilla hirsuticaulis,978
Alchemilla leiophylla,111
Alchemilla minor,10
Alectra fulminensis,11
Alectra vogelii,61
Aleurites trisperma,7
Aleurites trispermus,7
Alhagi camelorum,33
Alhagi maurorum,984
Alhagi pseudalhagi,35
Alisma bolivianum,1
Alisma plantago-aquatica var. parviflorum,9
Alisma subcordatum,876
Alkanna lycopsoides,112
Allium bivalve,25
Allium pyrenaicum,36
Allium siculum,166
Allium subvillosum,481
Allium unifolium,266
Alnus alnus,1
Alnus glutinosa,555425
Alocasia odora,719
Alopecurus agrestis,67
Alopecurus alpinus,2736
Alopecurus alpinus f. stejnegeri,3
Alopecurus alpinus ssp. alpinus,1
Alopecurus alpinus ssp. borealis,4
Alopecurus alpinus ssp. glaucus,5
Alopecurus alpinus ssp. stejnegeri,3
Alopecurus alpinus var. borealis,4
Alopecurus alpinus var. glaucus,5
Alopecurus alpinus var. stejnegeri,3
Alopecurus altaicus,2
Alopecurus behringianus,1
Alopecurus borealis,816
Alopecurus glaucus,18
Alopecurus magellanicus,1265
Alopecurus myosuroides,50670
Alopecurus occidentalis,1
Alopecurus pratensis,293567
Alopecurus pratensis f. breviaristatus,10
Alopecurus roshevitzianus,17
Alopecurus sericeus,1
Alopecurus songaricus,1
Alopecurus stejnegeri,14
Alopecurus ventricosus,319
Alpinia purpurata,1594
Alsine marina var. minor,30
Alternanthera halimifolia,80
Alternanthera paronichyoides,306
Alternanthera paronichyoides var. amazonica,1
Alternanthera paronichyoides var. paronichyoides,4
Alternanthera paronychioides,306
Alternanthera paronychioides var. amazonica,7
Alternanthera paronychioides var. paronychioides,4
Alternanthera polygonoides,19
Alyssum corsicum,47
Alyssum desertorum,1117
Alyssum desertorum var. desertorum,2
Alyssum libycum,3
Alyssum minus,639
Alyssum minus var. micranthum,22
Alyssum parviflorum,51
Alyssum parviflorum var. micranthum,70
Alyssum simplex,4413
Alyssum turkestanicum,688
Amaranthus altissimus,9
Amaranthus chlorostachys,20
Amaranthus chlorostachys var. erythrostachys,2
Amaranthus cruentus,1777
Amaranthus flavus,1
Amaranthus gangeticus,12
Amaranthus graecizans,2066
Amaranthus hybridus,28943
Amaranthus hybridus subsp. cruentus,270
Amaranthus hybridus subsp. hypocondriacus,43
Amaranthus hybridus subsp. paniculatus,14
Amaranthus hybridus subsp. patulus,39
Amaranthus hybridus var. chlorostachys,1
Amaranthus hybridus var. erythrostachys,87
Amaranthus hybridus var. hypocondriacus,43
Amaranthus hybridus var. paniculatus,14
Amaranthus hybridus var. patulus,39
Amaranthus hybridus var. typicus,28943
Amaranthus hypocondriacus,912
Amaranthus hypocondriacus var. amentaceus,912
Amaranthus leucocarpus,424
Amaranthus leucospermus,1
Amaranthus paniculatus,61
Amaranthus patulus,914
Amaranthus rudis,175
Amaranthus tamariscinus,53
Amaranthus tricolor,306
Amaranthus tuberculatus,980
Amaranthus tuberculatus var. rudis,9
Ambrosia peruviana,453
Ambulia stipitata,1
Amelanchier arborea var. austromontana,7
Amelanchier spicata,12245
Amelanchier stolonifera,322
Amelichloa brachychaeta,63
Ammi glaucifolium,2
Ammi majus,7424
Ammophila arenaria,75282
Ammophila littoralis,19
Amoria repens,1151
Ampelodesmos pliniana,5
Amphibromus neesii,631
Amsonia hubrichtii,70
Amsonia orientalis,7
Anacharis nuttallii,3
Anacyclus officinarum,1
Anacyclus pyrethrum,19
Anagallis arvensis,70536
Anagallis arvensis forma azurea,352
Anagallis arvensis forma caerulea,90
Anagallis arvensis forma phoenicea,24
Anagallis arvensis subsp. latifolia,13
Anagallis arvensis subsp. phoenicea,24
Anagallis arvensis var. caerulea,90
Anagallis arvensis var. latifolia,13
Anagallis arvensis var. parviflora,68
Anagallis arvensis var. phoenicea,24
Anagallis caerulea,16
Anagallis caerulea var. carnea,331
Anagallis latifolia,12
Anagallis parviflora,3
Anagallis parviflora var. typica,3
Anagallis phoenicea,15
Anagallis platyphylla,1
Anagallis repens,2
Anaphalioides bellidioides,3219
Anchusa officinalis,27353
Anchusa procera,51
Anchusa sempervirens,10
Anchusa thessala,40
Andropogon aciculatus,6
Andropogon annulatus,2
Andropogon citratus,4
Andropogon contortum,9
Andropogon contortus,9
Andropogon contortus subvar. hispidissimus,9
Andropogon contortus subvar. roxburghii,9
Andropogon contortus subvar. secundus,9
Andropogon contortus subvar. typicus,9
Andropogon contortus var. genuinus,9
Andropogon ischaemum,29
Andropogon secundus,4
Andropogon serratum,77
Andropogon sudanensis,1
Anemone halleri,1905
Anemone pulsatilla,6485
Anisantha diandra,10118
Anisantha madritensis,7681
Anisantha rigida,1514
Anisantha rubens,3018
Anisantha sterilis,111015
Annona cherimola,880
Annona muricata,1475
Anoda acerifolia,316
Anoda cristata,3314
Anoda cristata var. albiflora,1
Anoda cristata var. brachyantha,4
Anoda cristata var. digitata,4
Anoda hastata,52
Anoda lavateroides,3
Anoda triangularis,4
Anomatheca cruenta,1
Anomatheca laxa,15
Anthemis austriaca var. triumfettii,1077
Anthemis tomentosa,214
Anthemis triumfettii,264
Anthoxanthum nitens,2148
Anthoxanthum odoratum,627941
Anthoxanthum pilosum,53
Antidesma bunias,2
Antidesma bunius,603
Antidesma dallachyanum,7
Antirrhinum orontium,363
Antirrhinum orontium var. genuinum,363
Antirrhinum orontium var. typicum,363
Anubias afzelii,21
Anubias coffeefolia,35
Anubias gigantea,49
Anubias heterophylla,55
Apera interrupta,3139
Aphanes australis,23619
Aphanes inexspectata,2440
Apium ammi,31
Apocynum venetum,195
Apodanthera aspera,40
Aponogeton capuronii,6
Aponogeton desertorum,74
Aponogeton elongatus,84
Aponogeton fenestralis,1
Aponogeton krauseanus,1
Aponogeton longiplumulosus,7
Aponogeton madagascariensis,61
Aponogeton rigidifolius,3
Aponogeton siamensis,135
Aponogeton ulvaceus,32
Aptenia lancifolia,17
Arabidopsis pumila,16
Arceuthobium abietinum,101
Arceuthobium abietinum f.sp. concoloris,101
Arceuthobium americanum,29
Arceuthobium apachecum,33
Arceuthobium californicum,45
Arceuthobium campylopodum,274
Arceuthobium cyanocarpum,79
Arceuthobium douglasii,155
Arceuthobium laricis,35
Arceuthobium littorum,10
Arceuthobium microcarpum,57
Arceuthobium minutissimum,3
Arceuthobium monticola,8
Arceuthobium occidentale,75
Arceuthobium oxycedri,1280
Arceuthobium pini,57
Arceuthobium pusillum,422
Arceuthobium siskiyouense,53
Arceuthobium tsugense,21
Arceuthobium tsugense ssp. amabilae,63
Arceuthobium tsugense ssp. mertensianae,111
Arceuthobium tsugense ssp. tsugense,44
Arceuthobium vaginatum,289
Arctotheca calendula,23867
Ardisia acuminata,1
Ardisia guianensis,999
Areca catechu,187
Arenaria marina,1
Arenaria montana,5918
Arenaria rubra var. marina,1
Arenga pinnata,115
Arenga saccharifera,4
Argemone leiocarpa,4
Argemone leiocarpa var. ochroleucoides,1
Argemone mexicana,3578
Argemone ochroleuca,1535
Argyranthemum pinnatifidum,23
Arida riparia,13
Aristida ternipes,1273
Armoracia aquatica,9
Armoracia lacustris,15
Aronia arbutifolia var. atropurpurea,1
Aronia atropurpurea,3
Aronia floribunda,2
Aronia prunifolia,2018
Aronia x prunifolia,2018
Arracacia xanthorrhiza,149
Arrhenatherum bulbosum,387
Arrhenatherum elatius,518605
Arrhenatherum elatius var. biaristatum,26
Artemisia absinthium,33112
Artemisia absinthium var. insipida,1
Artemisia biennis,3185
Artemisia biennis var. biennis,7
Artemisia biennis var. diffusa,1
Artemisia capillaris,1301
Artemisia frigida,3291
Artemisia heterophylla,6
Artemisia igniaria,29
Artemisia indica,372
Artemisia lactiflora,418
Artemisia officinalis,1
Artemisia opulenta,6
Artemisia opulenta forma genuina,6
Artemisia ruderalis,1
Artemisia sieversiana,986
Artemisia tridentata,2101
Artemisia vulgaris,356228
Artemisia vulgaris var. coarctata,1582
Artemisia vulgaris var. glabra,1
Artemisia vulgaris var. normalis,356228
Arthraxon antsirabensis,15
Arthraxon breviaristatus,11
Arthraxon ciliaris,7
Arthraxon ciliaris subsp. langsdorffii,4
Arthraxon cuspidatus,1
Arthraxon cuspidatus var. genuinus,1
Arthraxon hispidus,12597
Arthraxon hispidus forma breviseta,1
Arthraxon hispidus forma centrasiaticus,8
Arthraxon hispidus forma formosanus,4
Arthraxon hispidus forma hispidissimus,2
Arthraxon hispidus forma japonicus,15
Arthraxon hispidus subsp. centrasiaticus,8
Arthraxon hispidus subsp. ciliaris,1
Arthraxon hispidus var. brevisetus,1
Arthraxon hispidus var. centrasiaticus,8
Arthraxon hispidus var. ciliaris,1
Arthraxon hispidus var. cryptatherus,48
Arthraxon hispidus var. hispidissimus,2
Arthraxon hispidus var. hookeri,7
Arthraxon hispidus var. japonicus,15
Arthraxon hispidus var. muticus,1
Arthraxon japonicus,3
Arthraxon langsdorffii,2
Arthraxon mauritianus,1
Arthraxon micans,35
Arthraxon nudus,2
Arthraxon pauciflorus,13
Arthraxon pauciflorus var. muticus,2
Arthraxon quartinianus,125
Artocarpus heterophyllus,1691
Artocarpus integer,216
Artocarpus integrifolius,13
Arundinaria simonii,19
Arundinella hirta,3334
Arundo aggerum,1
Arundo isiaca,1
Arundo phragmites,72
Arundo phragmites var. humilis,72
Asclepias physocarpa,89
Asperugo procumbens,9509
Asperula laevigata,368
Asplenium foreziense,419
Aster chasei,5
Aster coridifolius,2
Aster curvescens,3
Aster diffusus,1
Aster dumosus,112
Aster dumosus var. coridifolius,1
Aster dumosus var. gracilipes,1
Aster dumosus var. subulifolius,1
Aster foliolosus var. coridifolius,11552
Aster lateriflorus,568
Aster lateriflorus var. angustifolius,2
Aster lateriflorus var. hirsuticaulis,3
Aster lateriflorus var. pendulus,16
Aster lateriflorus var. tenuipes,4
Aster mexicanus,1
Aster patulus,4
Aster riparius,6
Aster salignus,23
Aster schreberi,180
Aster sonorae,1
Aster tenuipes,24
Aster tradescantii,366
Aster vimineus,106
Aster vimineus var. saxatilis,3
Astragalus corrugatus,36
Astragalus crenatus,37
Astragalus galegiformis,55
Athamanta sicula,54
Atriplex acuminata,223
Atriplex argentea,267
Atriplex glauca,719
Atriplex hortensis,2871
Atriplex hortensis ssp. nitens,1
Atriplex hortensis var. atrosanguinea,1
Atriplex hortensis var. rubra,18
Atriplex nitens,141
Atriplex portulacoides,20079
Atriplex semibaccata,11552
Atriplex sphaeromorpha,75
Austrodanthonia penicillata,36
Austrodanthonia racemosa,1
Austroderia richardii,686
Austroeupatorium inulifolium,828
Avena algeriensis,1
Avena barbata,79494
Avena barbata subvar. hirsuta,18
Avena bulbosa,1
Avena clauda,30
Avena dubia,2
Avena elatior,12
Avena eriantha,19
Avena fatua,49933
Avena fatua ssp. meridionalis,106
Avena fatua var. glabrata,118
Avena fatua var. intermedia,11
Avena fatua var. vilis,1
Avena ludoviciana,406
Avena macrocarpa,2
Avena meridionalis,2
Avena persica,6
Avena pilosa,4
Avena sativa ssp. sterilis,4
Avena sativa var. fatua,38
Avena sativa var. ludoviciana,2
Avena sativa var. sterilis,4
Avena sterilis,7378
Avena sterilis ssp. ludoviciana,1744
Avena sterilis ssp. macrocarpa,3
Avena sterilis subsp. ludoviciana,1744
Avena sterilis var. ludoviciana,1744
Avena tenuis,2
Avena vilis,65
Avena X ludoviciana,406
Azolla pinnata,1591
Baccharis pilularis,6677
Bacopa egensis,29
Bacopa lanigera,30
Bacopa myriophylloides,83
Balanites aegyptiaca,5023
Balanites aegyptiacus,5023
Baldingera arundinacea,10
Ballota hirsuta,3870
Ballota rupestris,4
Balsamita major,103
Bambusa arundinacea,7
Bambusa bambos,86
Bambusa flexuosa,3
Barleria prionitis,207
Barringtonia asiatica,604
Bassia hyssopifolia,968
Bassia prostrata,106
Bauhinia tomentosa,374
Baumea rubiginosa,3438
Beaucarnea recurvata,234
Beckmannia eruciformis,937
Beckmannia syzigachne,2876
Begonia minor,24
Begonia nelumbiifolia,327
Bellevalia romana,232
Bellevalia trifoliata,332
Bencomia caudata,72
Berberis thunbergii,17370
Berberis thunbergii var. atropurpurea,9
Berberis vulgaris,65219
Betonica grandiflora,5
Betonica officinalis,66910
Betula alnus var. glutinosa,53
Betula glutinosa,1
Bidens aurea,1700
Bidens aurea var. wrightii,3
Bidens ferulifolia,49
Bidens heterophylla,2
Bifora testiculata,179
Bignonia callistegioides,67
Billardiera heterophylla,616
Biscutella didyma,1781
Biscutella eriocarpa,1
Bistorta officinalis,4077
Blechum cordatum,2
Blumenbachia insignis,58
Bocconia frutescens,3009
Boehmeria penduliflora,179
Bolbitis fluviatilis,75
Bolbitis heteroclita,517
Bolboschoenus maritimus,56480
Bombycilaena erecta,11585
Bonaveria securidaca,3
Bonnaya brachiata,6
Bonnaya ciliata,126
Borago pygmaea,137
Borreria latifolia,694
Borreria latifolia forma fockeana,4
Borreria latifolia var. fockeana,4
Borreria platyphylla,1
Borreria scabrida,1
Botryanthus odorus,1
Brachiaria brizantha,921
Brachiaria decumbens,342
Brachiaria erucaeformis,2
Brachiaria eruciformis,370
Brachiaria paspaloides,40
Brachiaria texana,10
Brachypodium distachyon,18862
Brachypodium distachyum,18862
Brachypodium pubescens,1
Brachypodium sylvaticum,288625
Brachypodium sylvaticum ssp. dumosum,14
Bracteantha bracteata,21
Bradburya pubescens,4
Brassica arvensis,8
Brassica arvensis var. normalis,8
Brassica arvensis var. schkuhriana,1
Brassica kaber,370
Brassica kaber var. pinnatifida,35
Brassica kaber var. schkuhriana,17
Brassica nigra forma villosa,24053
Brassica orientalis,3
Brassica procumbens,17
Brassica sinapis var. orientalis,7149
Brassica sinapistrum,3
Brassica sinapistrum forma brachycarpa,3
Brassica sinapistrum forma dasycarpa,3
Brassica sinapistrum forma leiocarpa,3
Brassica sinapistrum var. villosa,3
Brassica tournefortii,17718
Breea arvensis,83
Breea incana,1
Brevipodium sylvaticum,35
Briza maxima,39063
Brodiaea uniflora,9
Bromopsis condensata,1
Bromopsis inermis,16507
Bromopsis inermis var. aristata,2
Bromus arvensis var. japonicus,1
Bromus breviaristatus,17
Bromus catharticus,19149
Bromus ciliatus var. purgans,1
Bromus condensatus,23
Bromus cyri,65
Bromus diandrus,40958
Bromus diandrus ssp. maximus,292
Bromus diandrus ssp. rigidus,69
Bromus diandrus var. gussonei,10
Bromus diandrus var. rigidus,69
Bromus erectus var. condensatus,73
Bromus grandiflorus,37
Bromus gussonei,27
Bromus gussonii,27
Bromus haenkeanus,4
Bromus hordeaceus,221704
Bromus hordeaceus f. leptostachys,7
Bromus hordeaceus ssp. mollis,5
Bromus hordeaceus var. leptostachys,7
Bromus hordeaceus var. mollis,5
Bromus inermis,26824
Bromus inermis f. aristatus,34
Bromus inermis f. bulbiferus,1
Bromus inermis f. proliferus,1
Bromus inermis ssp. inermis,3581
Bromus inermis ssp. inermis var. divaricatus,1
Bromus inermis ssp. inermis var. inermis,3581
Bromus inermis var. aristatus,34
Bromus inermis var. divaricatus,1
Bromus inermis var. inermis,3581
Bromus interruptus,174
Bromus japonicus,2284
Bromus japonicus ssp. subsquarrosus,329
Bromus japonicus var. porrectus,3
Bromus japonicus var. subsquarrosus,329
Bromus japonicus var. vestitus,1
Bromus kalmii,668
Bromus madritensis,16318
Bromus madritensis ssp. rubens,930
Bromus matritensis,126
Bromus maximus,20
Bromus mollis,1523
Bromus mollis f. nanus,2
Bromus mollis ssp. hordeaceus,1
Bromus mollis var. hordeaceus,1
Bromus mollis var. nanus,2
Bromus patulus,9
Bromus pendulus,1
Bromus pratensis,3
Bromus pubescens,873
Bromus purgans,67
Bromus rigidus,12072
Bromus rigidus ssp. gussonei,2
Bromus rigidus ssp. maximus,2
Bromus rigidus var. gussonei,2
Bromus rubens,19849
Bromus schraderi,1
Bromus sitchensis,1092
Bromus squarrosus,8770
Bromus sterilis,132066
Bromus unioloides,929
Bromus unioloides f. chasmogama,3
Bromus unioloides f. pseudoparviflorus,3
Bromus unioloides f. pubiculmis,4
Bromus unioloides forma chamogama,3
Bromus unioloides forma pseudoparviflorus,3
Bromus unioloides subf. achalensis,906
Bromus unioloides subforma achalensis,906
Bromus unioloides var. humilis,2
Bromus unioloides var. virens,906
Bromus vestitus,1
Bromus villosus,4
Bromus willdenowii,261
Bromus wolgensis,29
Brugmansia arborea,174
Brugmansia candida,498
Brugmansia X candida,498
Bryonia diocia,63520
Bryophyllum fedtschenkoi,78
Bryophyllum proliferum,46
Buddleja asiatica,973
Bufonia macropetala subsp. willkommiana,26
Bufonia paniculata,321
Bufonia willkommiana,8
Buglossoides arvensis,15547
Buglossoides arvensis forma incrassata,3
Buglossoides arvensis subsp. gasparrinii,135
Buglossoides arvensis subsp. incrassata,3
Buglossoides arvensis subsp. occidentalis,24
Buglossoides arvensis subsp. permixta,482
Buglossoides arvensis subsp. sibthorpiana,35
Buglossoides gasparrinii,53
Buglossoides incrassata,83
Bunias erucago,5379
Bunias orientalis,31168
Bunium alpinum,49
Bunium bulbocastanum,13926
Bupleurum longifolium,2111
Cactus triacanthos,1
Caesalpinia violacea,143
Calamagrostis arenaria,3255
Calamagrostis colorata,1
Calamagrostis filiformis,6
Calamagrostis plumosa,3
Calamintha nepeta,3211
Calceolaria chelidonioides,204
Calceolaria scabiosifolia,2
Calceolaria tripartita,856
Calchas crispipilus,1
Calendula stellata,53
Calliandra houstoniana var. calothyrsus,148
Callitriche austinii,1
Callitriche brutia,10218
Callitriche deflexa,204
Callitriche deflexa var. austinii,2
Callitriche deflexa var. subsessilis,9
Callitriche terrestris,117
Callitropsis arizonica,5
Calophyllum inophyllum,1124
Calophyllum inophyllum var. takamaka,1
Calopogonium caeruleum,869
Calopogonium mucunoides,2892
Calopogonium orthocarpum,3
Calotis lappulacea,6759
Calotropis gigantea,814
Caltha biflora,173
Caltha biflora ssp. howellii,1
Caltha biflora var. rotundifolia,5
Caltha chelidonii,1
Caltha howellii,22
Caltha introloba,21
Caltha leptosepala,1435
Caltha leptosepala ssp. biflora,21
Caltha leptosepala ssp. howellii,69
Caltha leptosepala ssp. leptosepala,51
Caltha leptosepala ssp. leptosepala var. leptosepala,51
Caltha leptosepala ssp. leptosepala var. sulfurea,1
Caltha leptosepala var. biflora,21
Caltha leptosepala var. leptosepala,51
Caltha leptosepala var. rotundifolia,1
Caltha leptosepala var. sulfurea,1
Caltha natans,205
Caltha sagittata,83
Calystegia inflata,178
Calystegia sepium,184116
Calystegia sepium ssp. americana,389
Calystegia sepium var. americana,389
Calystegia soldanella,6101
Calystegia spectabilis,2
Campylopus introflexus,57030
Campylopus pilifer,9615
Canavalia cathartica,336
Canavalia virosa,50
Canna tuerckheimii,192
Canna x generalis,905
Canna X orchiodes,15
Cantinoa americana,305
Capsicum baccatum,295
Cardamine glacialis,33
Cardamine glanduligera,89
Cardamine macrophylla,1278
Cardamine parviflora,2858
Cardamine parviflora var. arenicola,403
Cardaria draba,8138
Cardaria draba ssp. draba,282
Cardaria latifolia,24
Cardaria pubescens,320
Cardaria pubescens var. elongata,16
Cardiospermum grandiflorum,2581
Carduus acanthoides,10647
Carduus arvensis,3
Carduus cinereus,6
Carduus crispus,84518
Carduus macrocephalus,59
Carduus marianus,3
Carduus nutans,47704
Carduus nutans ssp. leiophyllus,64
Carduus nutans ssp. macrocephalus,20
Carduus nutans ssp. macrolepis,65
Carduus nutans ssp. nutans,1591
Carduus nutans var. leiophyllus,64
Carduus nutans var. macrocephalus,20
Carduus pycnocephalus,13900
Carduus thoermeri,339
Carex acuta,114038
Carex allegheniensis,23
Carex canescens ssp. canescens,3908
Carex curta,12152
Carex debilis,801
Carex debilis subsp. pubera,6
Carex debilis subsp. rudgei,578
Carex debilis var. interjecta,3
Carex debilis var. pubera,6
Carex debilis var. rudgei,578
Carex debilis var. strictior,2
Carex flexuosa,1
Carex folliculata var. intumescens,974
Carex goodenowii,59
Carex intumescens,3506
Carex intumescens forma ventriosa,1
Carex intumescens var. fernaldii,180
Carex kobomugi,546
Carex lagopodioides,1
Carex leporina,135052
Carex livida,9951
Carex livida var. grayana,31
Carex livida var. radicaulis,21
Carex nigra,249894
Carex nigra var. strictiformis,18
Carex ovalis,45174
Carex tenuis,1
Carex tracyi,45
Carex tribuloides,1274
Carex tribuloides var. sangamonensis,66
Carex vulgaris,1
Carlina vulgaris,88405
Carludovica palmata,771
Carpobrotus quadrifidus,45
Carum bulbocastanum,1
Cascabela peruviana,3
Cascabela thevetia,3087
Cassia bicapsularis,120
Cassia didymobotrya,98
Cassia emarginata,168
Cassia tora,681
Cassinia leptophylla,6
Castilla elastica,559
Castilla elastica ssp. costaricana,54
Castilla elastica ssp. elastica,76
Castilleja arvensis,1908
Catalpa longissima,107
Catapodium marinum,8775
Cathartolinum virginianum,3
Caucalis hispanica,1
Caucalis latifolia,73
Caulerpa racemosa var. cylindracea,12
Caulerpa taxifolia,1256
Cecropia peltata,3425
Cecropia schreberiana ssp. antillarum,30
Cedrela odorata,9339
Celastrus orbiculatus,8244
Celosia argentea,13978
Celosia argentea forma cristata,89
Celosia argentea var. argentea,60
Celosia argentea var. cristata,89
Celosia argentea var. plumosa,8
Celosia argentea var. pyramidalis,13978
Celosia argentea var. vera,13978
Celosia cristata,240
Cenchrus barbatus,4
Cenchrus biflorus,5398
Cenchrus clandestinus,12052
Cenchrus macrourus,1132
Centaurea cheiranthifolia,106
Centaurea debauxii,4
Centaurea debeauxii,2282
Centaurea diffusa,3583
Centaurea glastifolia,5
Centaurea iberica,1034
Centaurea macrocephala,256
Centaurea melitensis,15388
Centaurea napifolia,206
Centaurea nicaeensis,80
Centaurea pannonica,876
Centaurea picris,8
Centaurea ragusina,22
Centaurea repens,277
Centaurea salicifolia,16
Centaurea salonitana,207
Centaurea sicula,82
Centaurea stoebe subsp. micranthos,615
Centaurea virgata,402
Centotheca malabarica,2
Centranthus longiflorus,52
Centrosema pubescens,3407
Cephaleuros virescens,31
Cephalophilon capitatum,1
Cerastium aquaticum,4
Cerastium ligusticum,366
Cerastium perfoliatum,135
Ceratocephala falcata,1090
Ceratocephala orthoceras,113
Ceratocephala testiculata,731
Ceratochloa breviaristata,1
Ceratochloa cathartica,2862
Ceratochloa festucoides,2
Ceratochloa sitchensis,714
Ceratochloa unioloides,6
Ceratochloa willdenowii,6
Ceratophyllum pentacanthum,1
Cestrum nocturnum,2305
Cestrum nocturnum var. mexicanum,2
Chaetotropis chilensis,13
Chaetotropis elongata,64
Chaetotropis imberbis,1
Chamaecytisus albus,207
Chamaesyce canescens,112
Chamaesyce canescens ssp. massiliensis,2
Chamaesyce chamaesyce,3
Chamaesyce glomerifera,25
Chamaesyce glyptosperma,395
Chamaesyce glyptosperma var. integrata,1
Chamaesyce humistrata,25
Chamaesyce hypericifolia,338
Chamaesyce lasiocarpa,211
Chamaesyce maculata,3143
Chamaesyce mathewsii,2
Chamaesyce supina,14
Chamaesyce tracyi,1
Chamaesyce vulgaris,111
Chamagrostis minima,3
Chamomilla chamomilla,20
Chamomilla recutita,824
Chamomilla suaveolens,2245
Chartolepis glastifolia,9
Chenopodium acerifolium,136
Chenopodium acuminatum subsp. virgatum,130
Chenopodium album,281981
Chenopodium album forma cymigerum,25
Chenopodium album forma glomerulosum,16
Chenopodium album forma grandifolium,281981
Chenopodium album forma lanceolatum,28
Chenopodium album forma linneanum,281981
Chenopodium album forma spicatum,31
Chenopodium album forma viridiforme,281981
Chenopodium album ssp. album,16488
Chenopodium album subforma corymbosodentatum,281981
Chenopodium album subforma corymbosolanceolatum,281981
Chenopodium album subforma cymigerum,25
Chenopodium album subforma glomerulosum,16
Chenopodium album subforma medium,281981
Chenopodium album subforma paucidens,281981
