acc_name,synonyms,acc_name_source,climate,Atlas,fl_nox,fed_nox,naturalized,weedy,occurrences,occurrences_new
Alectra vogelii,Alectra vogelii,TNRS,1,0,1,0,0,1,66,61
Alhagi maurorum,"Alhagi camelorum, Alhagi maurorum, Alhagi pseudalhagi",ITIS,1,0,0,0,1,1,1015,1052
Alisma subcordatum,"Alisma plantago-aquatica ssp. subcordatum, Alisma plantago-aquatica var. parviflorum, Alisma subcordatum",ITIS,0,0,0,0,0,0,596,885
Alkanna lycopsoides,Alkanna lycopsoides,CABI,1,0,0,0,0,0,0,112
Allium pyrenaicum,Allium pyrenaicum,TNRS,1,0,0,0,0,0,222,36
Allium siculum,"Allium siculum, Nectaroscordum siculum",TNRS,0,0,0,0,1,1,276,287
Allium subvillosum,Allium subvillosum,TNRS,0,0,0,0,0,0,827,481
Allium unifolium,Allium unifolium,ITIS,0,0,0,0,0,1,202,266
Alnus glutinosa,"Alnus alnus, Alnus glutinosa, Betula alnus var. glutinosa, Betula glutinosa",ITIS,1,0,0,0,1,1,471663,555480
Alocasia odora,"Alocasia commutata, Alocasia odora, Alocasia subodora, Alocasia tonkinensis, Arum odorum, Caladium odoratissimum, Caladium odorum, Colocasia odora, Colocasia odora var rubra, Colocasia odora var. viridis",Atlas,0,1,0,0,1,1,598,719
Aloe latifolia,Aloe latifolia,TNRS,1,0,0,0,0,0,4,0
Alopecurus magellanicus,"Alopecurus alpinus, Alopecurus alpinus f. altaicus, Alopecurus alpinus f. stejnegeri, Alopecurus alpinus ssp. alpinus, Alopecurus alpinus ssp. borealis, Alopecurus alpinus ssp. glaucus, Alopecurus alpinus ssp. stejnegeri, Alopecurus alpinus var. altaicus, Alopecurus alpinus var. borealis, Alopecurus alpinus var. glaucus, Alopecurus alpinus var. occidentalis, Alopecurus alpinus var. stejnegeri, Alopecurus altaicus, Alopecurus antarcticus var. triceps, Alopecurus behringianus, Alopecurus borealis, Alopecurus borealis ssp. borealis, Alopecurus borealis ssp. glaucus, Alopecurus glacus, Alopecurus glaucus, Alopecurus glaucus var. altaicus, Alopecurus howellii var. howellii, Alopecurus magellanicus, Alopecurus occidentalis, Alopecurus pseudobrachystachyus, Alopecurus roshevitzianus, Alopecurus stejnegeri, Alopecurus tenuis, Alopecurus triceps",ITIS,0,0,0,0,0,1,3665,4898
Alopecurus myosuroides,"Alopecurus agrestis, Alopecurus myosuroides, Alopecurus purpurascens, Tozzettia agrestis",ITIS,1,0,0,0,1,1,67675,50737
Alopecurus pratensis,"Alopecurus alpinus f. songaricus, Alopecurus alpinus var. songaricus, Alopecurus altissimus, Alopecurus aquaticus, Alopecurus brachyglossus, Alopecurus ciliatus, Alopecurus elongatus, Alopecurus laxiflorus, Alopecurus obscurus, Alopecurus pallidus, Alopecurus pratensis, Alopecurus pratensis f. breviaristatus, Alopecurus scaber, Alopecurus seravschanicus, Alopecurus sericeus, Alopecurus songaricus, Alopecurus trivialis, Phalaris aristata, Tozzettia pratensis",ITIS,1,0,0,0,1,1,281793,293579
Alpinia purpurata,Alpinia purpurata,ITIS,1,0,0,0,1,1,839,1594
Alternanthera halimifolia,Alternanthera halimifolia,TNRS,1,0,0,0,1,1,157,80
Alternanthera paronychioides,"Achyranthes paronichyoides, Achyranthes paronychioides, Alternanthera paronichyoides, Alternanthera paronichyoides var. amazonica, Alternanthera paronichyoides var. paronichyoides, Alternanthera paronychioides, Alternanthera paronychioides var. amazonica, Alternanthera paronychioides var. paronychioides, Alternanthera polygonoides",ITIS,1,0,0,0,1,1,364,647
Alyssum corsicum,Alyssum corsicum,ITIS,1,0,0,0,1,1,50,47
Alyssum desertorum,"Alyssum desertorum, Alyssum desertorum var. desertorum, Alyssum desertorum var. himalayensis, Alyssum turkestanicum",ITIS,1,0,0,0,1,1,971,1807
Alyssum simplex,"Alyssum mimus, Alyssum mimus var. micranthum, Alyssum minus, Alyssum minus var. micranthum, Alyssum parviflorum, Alyssum parviflorum var. micranthum, Alyssum simplex, Clypeola minor, Clypeola minus",ITIS,1,0,0,0,1,1,6152,5195
Amaranthus graecizans,Amaranthus graecizans,ITIS,1,0,0,0,1,1,4310,2066
