acc_name,synonyms,acc_name_source,climate,Atlas,fl_nox,fed_nox,naturalized,weedy,occurrences,occurrences_new
Daucus glochidiatus,Daucus glochidiatus,TNRS,1,0,0,0,1,1,21382,21279
Daucus muricatus,Daucus muricatus,TNRS,1,0,0,0,0,1,708,373
Delairea odorata,"Delairea odorata, Senecio mikanioides",ITIS,1,0,0,0,1,1,4018,4619
Dendrocalamus strictus,"Bambos stricta, Bambusa stricta, Dendrocalamus strictus, Nastus strictus",ITIS,1,0,0,0,1,1,68,59
Dendrophthoe,Dendrophthoe,TNRS,1,0,0,0,0,0,4480,117
Dennstaedtia punctilobula,Dennstaedtia punctilobula,ITIS,1,0,0,0,1,1,2391,3263
Deschampsia cespitosa,"Agrostis caespitosa, Aira alpicola, Aira ambigua, Aira aristulata, Aira caespitosa, Aira cespitosa, Avena caespitosa, Campella caespitosa, Deschampsia alpicola, Deschampsia ambigua, Deschampsia andina, Deschampsia biebersteiniana, Deschampsia caespitosa, Deschampsia caespitosa ssp. genuina, Deschampsia cespitosa, Deschampsia cespitosa ssp. genuina, Deschampsia cespitosa var. confinis, Deschampsia cespitosa var. strictior, Deschampsia confinis, Deschampsia pungens, Podionapus caespitosus",ITIS,1,0,0,0,1,1,456524,507622
Descurainia sophia,"Descurainia sophia, Sisymbrium sophia, Sophia sophia",ITIS,1,0,0,0,1,1,31267,28654
Desmodium intortum,"Desmodium intortum, Meibomia intorta",ITIS,1,0,0,0,1,1,967,908
Desmodium sandwicense,"Desmodium sandwicense, Desmodium uncinatum, Meibomia uncinata",ITIS,1,0,0,0,1,1,17,990
Desmostachya bipinnata,Desmostachya bipinnata,TNRS,1,0,0,0,1,1,261,197
Dianthus cruentus,Dianthus cruentus,TNRS,0,0,0,0,1,0,103,100
Diascia barberae,Diascia barberae,TNRS,1,0,0,0,1,0,53,55
Dichanthelium acuminatum,"Dichanthelium acuminatum, Panicum acuminatum, Panicum acuminatum var. acuminatum",ITIS,1,0,0,0,1,1,8123,2418
Dichanthelium dichotomum,"Chasea dichotoma, Dichanthelium annulum, Dichanthelium caerulescens, Dichanthelium dichotomum, Dichanthelium dichotomum subsp. lucidum, Dichanthelium dichotomum subsp. mattamuskeetense, Dichanthelium dichotomum subsp. microcarpon, Dichanthelium dichotomum subsp. nitidum, Dichanthelium dichotomum subsp. roanokense, Dichanthelium dichotomum subsp. yadkinense, Dichanthelium dichotomum var. nitidum, Dichanthelium dichotomum var. ramulosum, Dichanthelium dichotomum var. roanokense, Dichanthelium lucidum, Dichanthelium mattamuskeetense, Dichanthelium microcarpon, Dichanthelium nitidum, Dichanthelium roanokense, Dichanthelium sphagnicola, Dichanthelium yadkinense, Panicum angustifolium, Panicum annulum, Panicum annulum var. glabrescens, Panicum barbulatum, Panicum bogueanum, Panicum caerulescens, Panicum clutei, Panicum curtivaginum, Panicum dichotomum, Panicum dichotomum forma commune, Panicum dichotomum var. barbulatum, Panicum dichotomum var. clutei, Panicum dichotomum var. divaricatum, Panicum dichotomum var. ludicum, Panicum dichotomum var. mattamuskeetense, Panicum dichotomum var. nitidum, Panicum dichotomum var. nodiflorum, Panicum dichotomum var. ramulosum, Panicum dichotomum var. roanokense, Panicum dichotomum var. viride, Panicum dichotomum var. yadkinense, Panicum dumus, Panicum gravius, Panicum lucidum, Panicum lucidum var. opacum, Panicum maculatum, Panicum mattamuskeetense, Panicum mattamuskeetense var. clutei, Panicum microcarpon, Panicum multirameum, Panicum nitidum, Panicum nitidum var. barbatum, Panicum nitidum var. barbulatum, Panicum nitidum var. glabriusculum, Panicum nitidum var. pauciflorum, Panicum nitidum var. ramulosum, Panicum nitidum var. viride, Panicum nodiflorum, Panicum pubescens var. barbulatum, Panicum ramulosum, Panicum ramulosum var. viride, Panicum roanokense, Panicum sphagnicola, Panicum subbarbulatum, Panicum tremulum, Panicum yadkinense",Atlas,0,1,0,0,1,1,3542,1411
Dichanthium annulatum,"Andropogon annulatus, Andropogon annulatus var. subrepens, Andropogon garipensis, Andropogon ischaemum, Andropogon obtusus, Andropogon scandens, Bothriochloa tuberculata, Dichanthium annulatum, Lepeocercis annulata",ITIS,1,0,0,0,1,1,2252,2203
Dichanthium caricosum,"Andropogon caricosus, Andropogon caricosus ssp. genuinus, Andropogon filiformis, Andropogon serratum, Dichanthium caricosum, Heteropogon concinnus",ITIS,1,0,0,0,1,1,63,137
Dichorisandra thyrsiflora,Dichorisandra thyrsiflora,TNRS,1,0,0,0,1,1,297,482
Didiplis diandra,"Didiplis diandra, Didiplis diandra forma aquatica, Didiplis diandra forma terrestris, Didiplis linearis, Hypobrichia nuttallii, Peplis diandra, Peplis diandra forma aquatica, Peplis diandra forma terrestris",Atlas,0,1,0,0,1,0,55,59
Digitaria abyssinica,"Digitaria abyssinica, Digitaria scalarum, Panicum abyssinicum, Syntherisma abyssinica",ITIS,1,0,1,1,1,1,846,818
Digitaria aegyptiaca,Digitaria aegyptiaca,TNRS,1,0,0,0,0,1,2,5
Digitaria aequiglumis,"Digitaria aequiglumis, Digitaria campestris, Digitaria chillanensis, Panicum aequiglume, Panicum aequiglume var. aequiglume, Panicum debile var. aequiglume, Panicum ramosum, Panicum tridactylum, Paspalum tridactylum, Syntherisma aequiglumis",ITIS,1,0,0,0,1,1,608,382
Digitaria debilis,Digitaria debilis,ITIS,1,0,0,0,1,1,461,447
Digitaria fuscescens,"Digitaria fuscescens, Panicum fuscescens, Paspalum fuscescens, Syntherisma fuscescens",ITIS,1,0,0,0,1,1,255,275
Digitaria setigera,"Axonopus corymbosus, Cynodon setiger, Cynodon setigerus, Digitaria consanguinea, Digitaria corymbosa, Digitaria horizontalis, Digitaria lanosa, Digitaria microbachne, Digitaria pruriens, Digitaria pruriens var. microbachne, Digitaria sanguinalis var. pruriens, Digitaria setigera, Digitaria subhorizontalis, Panicum corymbosum, Panicum dilatatum, Panicum extensum, Panicum fimbriatum var. setigerum, Panicum microbachne, Panicum pruriens, Panicum pruriens var. glabrum, Panicum sanguinale var. microbachne, Panicum sanguinale var. pruriens, Panicum setigerum, Paspalum consanguineum, Paspalum sanguinale var. pruriens, Syntherisma consanguinea, Syntherisma consanguineum, Syntherisma corymbosum, Syntherisma microbachne, Syntherisma pruriens, Syntherisma sanguinale var. pruriens, Syntherisma sanguinalis var. pruriens",Atlas,1,1,0,0,1,1,3772,3454
Dimorphotheca barberae,Dimorphotheca barberae,TNRS,0,0,0,0,1,0,17,11
Dioscorea cayenensis,"Dioscorea cayenensis, Dioscorea cayennensis",ITIS,1,0,0,0,0,1,2146,504
Diplachne fusca subsp. fascicularis,"Cynodon fascicularis, Diachroa procumbens, Diplachne acuminata, Diplachne fascicularis, Diplachne fusca subsp. fascicularis, Diplachne fusca var. fascicularis, Diplachne maritima, Diplachne patens, Diplachne procumbens, Diplachne tracyi, Festuca clandestina, Festuca fascicularis, Festuca polystachya, Festuca procumbens, Festuca texana, Festuca thouinii, Leptochloa acuminata, Leptochloa fascicularis, Leptochloa fascicularis var. acuminata, Leptochloa fascicularis var. maritima, Leptochloa fusca subsp. fascicularis, Leptochloa maritima, Leptochloa polystachya, Leptochloa tracyi, Tridens veralensis, Tridens virens, Uralepis composita, Uralepis virens",Atlas,1,1,0,0,1,1,1627,1772
Diplotaxis catholica,Diplotaxis catholica,TNRS,1,0,0,0,1,1,1745,2154
Diplotaxis tenuisiliqua,Diplotaxis tenuisiliqua,TNRS,1,0,0,0,0,1,48,37
Disa bracteata,Disa bracteata,TNRS,1,0,0,0,1,1,1571,1825
Doryanthes palmeri,Doryanthes palmeri,TNRS,0,0,0,0,1,0,111,2
Dovyalis caffra,"Aberia caffra, Dovyalis caffra",ITIS,1,0,0,0,1,1,1171,738
Downingia elegans,"Downingia elegans, Downingia elegans var. brachypetala, Downingia elegans var. corymbosa, Downingia elegans var. elegans",ITIS,0,0,0,0,0,1,128,170
Draba aizoides,Draba aizoides,TNRS,1,0,0,0,0,1,11581,14121
Draba verna,"Draba praecox, Draba verna, Draba verna var. aestivalis, Draba verna var. boerhaavii, Draba verna var. major, Erophila spathulata, Erophila verna, Erophila verna ssp. praecox, Erophila verna ssp. spathulata",ITIS,1,0,0,0,1,1,213809,125005
Dracopis amplexicaulis,"Dracopis amplexicaulis, Rudbeckia amplexicaulis, Rudbeckia amplexifolia, Rudbeckia perfoliata",Atlas,1,1,0,0,1,1,808,852
Drosera capensis,Drosera capensis,ITIS,0,0,0,0,1,1,193,205
Dryopteris oreades,Dryopteris oreades,CABI,0,0,0,0,0,0,3262,2732
Duchesna indica,Duchesna indica,CABI,1,0,0,0,0,0,0,10222
Dulichium arundinaceum,"Cyperus alternifolius, Cyperus arundinaceus, Cyperus spathaceus, Dulichium arundinaceum, Dulichium spathaceum, Schoenus spathaceus, Scirpus spathaceus",Atlas,0,1,0,0,1,1,3271,2422
Dysphania aristata,"Chenopodium aristatum, Dysphania aristata, Teloxys aristata",ITIS,1,0,0,0,1,1,524,500
Dysphania botrys,"Botrydium botrys, Chenopodium botrys, Dysphania botrys, Teloxys botrys",ITIS,0,0,0,0,1,1,5817,5694
Dysphania glomulifera,Dysphania glomulifera,TNRS,0,0,0,0,1,1,1456,637
Dysphania pumilio,"Ambrina pumilio, Blitum pumilio, Chenopodium carinatum, Chenopodium pumilio, Dysphania pumilio, Teloxys pumilio","Atlas, ITIS",1,1,0,0,1,1,9106,10231
Echinochloa crus-galli,"Echinochloa colona var. frumentacea, Echinochloa crus-corvi, Echinochloa crus-galli, Echinochloa crus-galli forma echinata, Echinochloa crus-galli forma longiseta, Echinochloa crus-galli forma mitis, Echinochloa crus-galli forma purpurea, Echinochloa crus-galli forma vittata, Echinochloa crus-galli subsp. edulis, Echinochloa crus-galli subsp. hispidula, Echinochloa crus-galli var. aristata, Echinochloa crus-galli var. breviseta, Echinochloa crus-galli var. crus-corvi, Echinochloa crus-galli var. echinata, Echinochloa crus-galli var. edulis, Echinochloa crus-galli var. frumentacea, Echinochloa crus-galli var. hispidula, Echinochloa crus-galli var. longiseta, Echinochloa crus-galli var. mitis, Echinochloa crus-galli var. mutica, Echinochloa echinata, Echinochloa frumentacea, Echinochloa glabrescens, Echinochloa hispidula, Echinochloa muricata var. occidentalis, Echinochloa occidentalis, Echinochloa pungens var. occidentalis, Echinochloa subverticillata, Milium crus-galli, Oplismenus crus-corvi, Oplismenus crus-galli, Oplismenus crus-galli var. muticus, Oplismenus echinatus, Oplismenus frumentaceus, Orthopogon crus-galli, Orthopogon echinatus, Panicum alectorocnemum, Panicum crus-corvi, Panicum crus-galli, Panicum crus-galli var. aristatum, Panicum crus-galli var. breviseta, Panicum crus-galli var. echinatum, Panicum crus-galli var. edule, Panicum crus-galli var. frumentaceum, Panicum crus-galli var. longisetum, Panicum crus-galli var. mite, Panicum crus-galli var. muticum, Panicum crus-galli var. purpureum, Panicum crus-galli var. vulgare, Panicum echinatum, Panicum frumentaceum, Panicum grossum, Panicum hispidulum, Pennisetum crus-galli",Atlas,1,1,0,0,1,1,117365,113343
Echinochloa muricata,"Echinochloa crusgalli forma longiseta, Echinochloa crusgalli subsp. muricata, Echinochloa crusgalli var. michauxii, Echinochloa crusgalli var. microstachya, Echinochloa crusgalli var. muricata, Echinochloa microstachya, Echinochloa muricata, Echinochloa muricata subsp. microstachya, Echinochloa muricata var. ludoviciana, Echinochloa muricata var. microstachya, Echinochloa muricata var. multiflora, Echinochloa pungens, Echinochloa pungens var. coarctata, Echinochloa pungens var. ludoviciana, Echinochloa pungens var. microstachya, Echinochloa pungens var. multiflora, Echinochloa pungens var. wiegandii, Echinochloa wiegandii, Oplismenus muricatus, Panicum muricatum, Panicum pungens, Panicum scindens, Setaria muricata",Atlas,1,1,0,0,1,1,6011,6501
Echinochloa pyramidalis,"Echinochloa guadeloupensis, Echinochloa pyramidalis, Echinochloa pyramidalis var. guadeloupensis, Panicum pyramidale, Panicum setarioides, Panicum spectabile var. guadeloupense",ITIS,1,0,0,0,1,1,1841,1603
Echinochloa turneriana,"Echinochloa turnerana, Echinochloa turneriana",ITIS,1,0,0,0,0,1,429,362
Echinocystis lobata,"Echinocystis lobata, Micrampelis lobata, Sicyos lobata",ITIS,1,0,0,0,1,1,3922,4703
Echinodorus 'Harbii',Echinodorus 'Harbii',CABI,0,0,0,0,0,0,0,48
Echinodorus andreuxii,Echinodorus andreuxii,CABI,0,0,0,0,0,0,0,349
Echinodorus bolivianus,"Alisma bolivianum, Echinodorus bolivianus, Echinodorus tenellus var. latifolius, Helanthium bolivianum",ITIS,1,0,0,0,1,1,173,76
Echinodorus chrileni,Echinodorus chrileni,CABI,0,0,0,0,0,0,0,556
Echinodorus compacta,Echinodorus compacta,CABI,0,0,0,0,0,0,0,556
Echinodorus cordifolius,"Alisma cordifolium, Aquarius cordifolius, Echinodorus barthii, Echinodorus cordifolius, Echinodorus cordifolius subsp. fluitans, Echinodorus fluitans, Echinodorus ovalis, Echinodorus radicans, Echinodorus schlueteri, Sagittaria cordifolia, Sagittaria radicans",TNRS,0,0,0,0,1,1,249,305
Echinodorus grandiflorus,"Alisma grandiflorum, Aquarius grandiflorus, Echinodorus argentinensis, Echinodorus floridanus, Echinodorus grandiflorus, Echinodorus grandiflorus var. ovatus, Echinodorus pellucidus",Atlas,0,1,0,0,0,1,348,376
Echinodorus grisebachii,"Echinodorus bleheri, Echinodorus grisebachii",TNRS,1,0,0,0,0,0,82,99
Echinodorus harbich,Echinodorus harbich,CABI,0,0,0,0,0,0,0,556
Echinodorus horizontalis,Echinodorus horizontalis,TNRS,1,0,0,0,0,0,75,76
Echinodorus magdalensis,Echinodorus magdalensis,CABI,0,0,0,0,0,0,0,0
Echinodorus mitchii,Echinodorus mitchii,CABI,0,0,0,0,0,0,0,556
Echinodorus ozelot,Echinodorus ozelot,CABI,0,0,0,0,0,0,0,556
Echinodorus scaber,Echinodorus scaber,TNRS,0,0,0,0,0,0,40,18
Echinodorus tricolor,Echinodorus tricolor,CABI,0,0,0,0,0,0,0,556
Echinodorus uruguayensis,"Echinodorus horemanii, Echinodorus uruguayensis",TNRS,1,0,0,0,0,1,37,27
Echinops sphaerocephalus,Echinops sphaerocephalus,ITIS,1,0,0,0,1,1,12298,10464
Echium arenarium,Echium arenarium,TNRS,1,0,0,0,1,1,433,438
Echium plantagineum,"Echium lycopsis, Echium plantagineum",ITIS,1,0,0,0,1,1,51871,54133
Ehrharta calycina,Ehrharta calycina,ITIS,1,0,0,0,1,1,8925,9696
Ehrharta erecta,Ehrharta erecta,ITIS,1,0,0,0,1,1,9100,10927
Ehrharta stipoides,"Ehrharta stipoides, Microlaena stipoides",ITIS,1,0,0,0,1,1,109710,17296
Elaeagnus angustifolia,"Elaeagnus angustifolia, Elaeagnus angustifolia var. orientalis, Elaeagnus argentea, Elaeagnus orientalis",ITIS,1,0,0,0,1,1,4691,8234
Elatine hungarica,Elatine hungarica,TNRS,1,0,0,0,1,1,14,39
Eleocharis bonariensis,Eleocharis bonariensis,TNRS,1,0,0,0,1,1,697,658
Eleocharis vivipara,"Chlorocharis vivipara, Eleocharis curtisii, Eleocharis prolifera, Eleocharis vivipara, Scirpus viviparus, Trichophyllum proliferum, Trichophyllum viviparum",Atlas,0,1,0,0,0,0,53,107
Elephantopus mollis,"Elephantopus hypomalacus, Elephantopus martii, Elephantopus mollis, Elephantopus mollis var. bracteosus, Elephantopus mollis var. capitulatus, Elephantopus pilosus",ITIS,1,0,0,0,1,1,3869,4215
Eleutheranthera ruderalis,"Eleutheranthera ruderalis, Melampodium ruderale",ITIS,0,0,0,0,1,1,532,428
Eleutherococcus sieboldianus,"Acanthopanax sieboldianus, Aralia pentaphylla, Eleutherococcus pentaphyllus, Eleutherococcus sieboldianus",ITIS,1,0,0,0,1,1,160,198
Elodea nuttallii,"Anacharis nuttallii, Anacharis occidentalis, Elodea columbiana, Elodea minor, Elodea nuttalli, Elodea nuttallii, Elodea occidentalis, Philotria angustifolia, Philotria minor, Philotria nuttallii, Philotria occidentalis, Udora verticillata var. minor",ITIS,1,0,0,0,1,1,70290,161250
Elsholzia ciliata,Elsholzia ciliata,CABI,0,0,0,0,0,0,0,2795
Elymus repens,"Agropyron junceum var. repens, Agropyron repens, Agropyron repens f. aristatum, Agropyron repens f. geniculatum, Agropyron repens f. heberhachis, Agropyron repens f. pilosum, Agropyron repens f. repens, Agropyron repens f. setiferum, Agropyron repens f. stoloniferum, Agropyron repens f. trichorrhachis, Agropyron repens f. vaillantianum, Agropyron repens subvar. pubescens, Agropyron repens var. aristatum, Agropyron repens var. nemorale, Agropyron repens var. pilosum, Agropyron repens var. pubescens, Agropyron repens var. repens, Agropyron repens var. subulatum, Agropyron repens var. vaillantianum, Agropyron repens var. vulgare, Agropyron sachalinense, Agropyron subulatum, Agropyron vaillantianum, Braconotia officinarum, Elymus hoffmannii, Elymus neogaeus, Elymus repens, Elymus repens var. aristatus, Elymus vaillantianus, Elytrigia repens, Elytrigia repens ssp. caesia, Elytrigia repens var. aristata, Elytrigia repens var. caesium, Elytrigia repens var. glauca, Elytrigia repens var. pubescens, Elytrigia repens var. repens, Elytrigia repens var. subulatum, Elytrigia repens var. vaillantiana, Elytrigia repens var. vaillantianum, Elytrigia vaillantiana, Elytrigia vaillantianum, Trisetum repens ssp. magellanicum, Triticum infestum, Triticum repens, Triticum repens f. pubescens, Triticum repens var. aristatum, Triticum repens var. caesium, Triticum repens var. subulatum, Triticum repens var. vulgare, Triticum subulatum, Triticum vaillantianum, Zeia repens",ITIS,1,0,0,0,1,1,381186,454913
Elymus scabrus,Elymus scabrus,TNRS,0,0,0,0,1,1,7,12
Emex australis,Emex australis,ITIS,1,0,1,1,1,1,954,144
Enarthrocarpus clavatus,Enarthrocarpus clavatus,TNRS,1,0,0,0,0,0,16,16
Enchylaena tomentosa,Enchylaena tomentosa,ITIS,1,0,0,0,1,1,30865,13843
Epilobium brunnescens,Epilobium brunnescens,TNRS,1,0,0,0,1,1,12570,14260
Epilobium dodonanei,Epilobium dodonanei,CABI,0,0,0,0,0,0,0,10099
Equisetum camtschatcense,Equisetum camtschatcense,CABI,0,0,0,0,0,0,0,8165
Equisetum japonicum,Equisetum japonicum,CABI,0,0,0,0,0,0,0,8165
Equisetum palustre,"Equisetum palustre, Equisetum palustre var. americanum, Equisetum palustre var. simplicissimum",ITIS,1,0,0,0,0,1,213686,253790
Equisetum scirpoides,Equisetum scirpoides,ITIS,0,0,0,0,0,1,6593,7020
Eragrostis amabilis,"Cynodon amabilis, Eragrostis amabilis, Eragrostis amabilis var. duriuscula, Eragrostis amabilis var. plumosa, Eragrostis ciliaris var. patens, Eragrostis lepida, Eragrostis plumosa, Eragrostis tenella, Eragrostis tenella var. plumosa, Megastachya amabilis, Poa amabilis, Poa lepida, Poa plumosa, Poa tenella",Atlas,1,1,0,0,1,1,1956,1079
Eragrostis cumingii,"Eragrostis bleeseri, Eragrostis brownei, Eragrostis bulbillifera, Eragrostis cumingii, Eragrostis distans, Eragrostis simplex",Atlas,1,1,0,0,1,1,2565,2243
Eragrostis lugens,"Eragrostis flaccida, Eragrostis lugens, Eragrostis lugens f. pallida, Eragrostis lugens forma pallida, Eragrostis lugens ssp. flaccida, Eragrostis lugens subsp. flaccida, Eragrostis lugens var. glabrata, Eragrostis lugens var. glabrescens, Eragrostis pilosa var. lugens, Poa lugens",Atlas,0,1,0,0,1,1,1003,795
Eragrostis paniciformis,"Eragrostis paniciformis, Poa paniciformis",ITIS,1,0,0,0,1,1,139,122
Eragrostis pectinacea var. pectinacea,"Eragrostis brizoides, Eragrostis caroliniana, Eragrostis cognata, Eragrostis diffusa, Eragrostis nuttalliana, Eragrostis parvula, Eragrostis pectinacea var. pectinacea, Eragrostis pennsylvanica, Eragrostis pilosa var. caroliniana, Eragrostis purshii, Eragrostis purshii var. diffusa, Eragrostis purshii var. genuina, Eragrostis spectabilis var. sparsihirsuta, Eragrostis unionis, Poa caroliniana, Poa nuttallii, Poa pectinacea, Poa tenella",Atlas,1,1,0,0,0,1,1139,6053
Eragrostis plana,Eragrostis plana,ITIS,1,0,0,0,1,1,416,438
Eragrostis prolifera,"Eragrostis albescens, Eragrostis diversiflora, Eragrostis domingensis, Eragrostis fascicularis, Eragrostis gigantea, Eragrostis guineensis, Eragrostis haenkei, Eragrostis hagerupii, Eragrostis linearis, Eragrostis maxima, Eragrostis pallescens, Eragrostis prolifera, Eragrostis salzmannii, Poa domingensis, Poa linearis, Poa prolifera, Poa subulata",Atlas,0,1,0,0,1,1,592,415
Eragrostis trichophora,"Eragrostis atherstonei, Eragrostis atherstonii, Eragrostis henrardii, Eragrostis trichophora",ITIS,1,0,0,0,0,1,1038,844
Erechtites valerianifolius,Erechtites valerianifolius,TNRS,1,0,0,0,1,0,2123,1872
Erepsia heteropetala,Erepsia heteropetala,TNRS,1,0,0,0,1,1,38,126
Erigeron,"Erigeron, Trimorpha",ITIS,0,0,0,0,0,0,532975,11434
Erigeron acer,Erigeron acer,CABI,1,0,0,0,1,1,9606,7664
Erigeron annuus,"Aster annuus, Aster stenactis, Diplopappus annuus, Diplopappus dubius, Erigeron annuus, Erigeron annuus forma discoideus, Erigeron annuus var. discoideus, Erigeron annuus var. typicus, Erigeron heterophyllus, Phalacroloma acutifolium, Phalacroloma annuum, Stenactis annua",Atlas,1,1,0,0,1,1,26236,30118
Erigeron karvinskianus,Erigeron karvinskianus,ITIS,1,0,0,0,1,1,10099,14828
Erigeron septentrionale,Erigeron septentrionale,CABI,0,0,0,0,0,0,0,338
Erigeron strigosus,"Doronicum ramosum, Erigeron ambiguus, Erigeron annuus subsp. septentrionalis, Erigeron annuus subsp. strigosus, Erigeron annuus var. ramosus, Erigeron integrifolius, Erigeron obscurus, Erigeron ramosus, Erigeron ramosus forma discoideus, Erigeron ramosus var. beyrichii, Erigeron ramosus var. discoideus, Erigeron ramosus var. integrifolius, Erigeron ramosus var. septentrionalis, Erigeron strigosus, Erigeron strigosus forma discoideus, Erigeron strigosus var. beyrichii, Erigeron strigosus var. discoideus, Erigeron strigosus var. eligulatus, Erigeron strigosus var. gracilis, Erigeron strigosus var. septentrionalis, Erigeron strigosus var. typicus, Phalacroloma beyrichii, Phalacroloma septentrionale, Stenactis alabamensis, Stenactis ambigua, Stenactis annua subsp. septentrionalis, Stenactis annua subsp. strigosa, Stenactis beyrichii, Stenactis eriolepis, Stenactis ramosa, Stenactis septentrionalis, Stenactis strigosa, Tessenia obscura, Tessenia ramosa","TNRS, Atlas",1,1,0,0,1,1,15383,7042
Eriobotrya japonica,"Crataegus bibas, Eriobotrya japonica, Mespilus japonica, Photinia japonica, Pyrus bibas",Atlas,1,1,0,0,1,1,3150,24151
Eriocaulon setaceum,Eriocaulon setaceum,TNRS,0,0,0,0,0,1,788,779
Eriocephalus africanus,Eriocephalus africanus,TNRS,0,0,0,0,1,1,817,335
Eriochloa succinta,Eriochloa succinta,CABI,1,0,0,0,0,0,0,7
Eriolobus trilobatus,Eriolobus trilobatus,TNRS,1,0,0,0,0,0,50,34
Erodium botrys,Erodium botrys,ITIS,1,0,0,0,1,1,6028,8134
Erodium cicutarium ssp. jacquinianum,"Erodium aethiopicum, Erodium cicutarium ssp. jacquinianum",ITIS,1,0,0,0,1,0,1194,486
Erodium hoefftianum,Erodium hoefftianum,TNRS,1,0,0,0,0,0,17,36
Erodium manescavii,Erodium manescavii,CABI,0,0,0,0,0,1,411,358
Eryngium tricuspidatum,Eryngium tricuspidatum,TNRS,1,0,0,0,0,1,302,103
Erysimum canum,"Cheiranthus canus, Erysimum canum",TNRS,0,0,0,0,0,1,0,23
Erysimum hungaricum,"Erysimum hungaricum, Erysimum wahlenbergii",TNRS,0,0,0,0,1,1,15,15
Erysimum perovskianum,Erysimum perovskianum,CABI,1,0,0,0,0,0,0,22
Erythrina berteroana,"Erythrina berteriana, Erythrina berteroana",ITIS,1,0,0,0,1,1,457,497
Erythrina poeppigiana,Erythrina poeppigiana,ITIS,1,0,0,0,1,1,474,2343
Etlingera elatior,"Etlingera elatior, Nicolaia elatior, Phaeomeria magnifica",ITIS,1,0,0,0,1,1,550,770
Eucalyptus,Eucalyptus,ITIS,1,0,0,0,0,0,1150523,9447
Eucalyptus camaldulensus,Eucalyptus camaldulensus,CABI,1,0,0,0,0,0,0,33935
Eucalyptus cladocalyx,Eucalyptus cladocalyx,ITIS,1,0,0,0,1,1,2112,4421
Eucalyptus globulus,Eucalyptus globulus,ITIS,1,0,0,0,1,1,131326,18122
Eucalyptus gomphocephalus,Eucalyptus gomphocephalus,CABI,1,0,0,0,0,1,0,367
Eucalyptus paniculata,Eucalyptus paniculata,ITIS,1,0,0,0,1,1,3694,4043
Eucalyptus sclerophylla,Eucalyptus sclerophylla,ITIS,1,0,0,0,0,0,1,0
Eucalyptus sideroxylon,"Eucalyptus sideroxylon, Eucalyptus sideroxylon var. rosea",ITIS,1,0,0,0,1,1,3365,3222
Euonymus fortunei,"Euonymus fortunei, Euonymus hederaceus","ITIS, TNRS",1,0,0,0,1,1,4291,4275
Euonymus japonicus,"Euonymus japonica, Euonymus japonicus",ITIS,1,0,0,0,1,1,1661,6154
Euphorbia carpatica,"Euphorbia carpatica, Euphorbia jasiewiczii, Tithymalus carpaticus, Tithymalus jasiewiczii",ITIS,0,0,0,0,0,0,1,2
Euphorbia chamaesyce,"Anisophyllum chamaesyce, Anisophyllum vaticanum, Chamaesyce canescens, Chamaesyce canescens ssp. glabra, Chamaesyce canescens ssp. massiliensis, Chamaesyce chamaesyce, Chamaesyce massiliensis, Chamaesyce vulgaris, Chamaesyce vulgaris ssp. massiliensis, Ditritra rotundifolia, Euphorbia canescens, Euphorbia chamaesyce, Euphorbia chamaesyce var. canescens, Euphorbia chamaesyce var. glabra, Euphorbia chamaesyce var. glabriuscula, Euphorbia chamaesyce var. massiliensis, Euphorbia chamaesyce var. pilosa, Euphorbia libassii, Euphorbia massiliensis, Euphorbia perforata, Euphorbia pinnulosa, Euphorbia prostrata, Euphorbia vaticana, Tithymalus chamaesyce, Tithymalus nummularius, Xamesike palestina, Xamesike vulgaris, Xamesike xamobala",ITIS,1,0,0,0,1,1,9711,8797
Euphorbia esula,"Euphorbia croizatii, Euphorbia esula, Euphorbia esula var. genuina, Euphorbia leoncroizatii, Euphorbia podperae, Euphorbia pseudovirgata, Euphorbia X intercedens, Euphorbia X pseudovirgata, Euphorbion esulum, Galarhoeus croizatii, Galarhoeus esula, Keraselma esula, Tithymalus esula",ITIS,1,0,0,0,1,1,38016,28364
Euphorbia glyptosperma,"Chamaesyce glyptosperma, Chamaesyce glyptosperma var. integrata, Chamaesyce glyptosperma var. pubescens, Euphorbia glyptosperma, Euphorbia glyptosperma var. pubescens, Euphorbia glyptosperma var. tenerrima",ITIS,0,0,0,0,1,1,2285,1868
Euphorbia humistrata,"Anisophyllum humistratum, Chamaesyce humistrata, Euphorbia humistrata",Atlas,1,1,0,0,1,1,85,89
Euphorbia hypericifolia,"Anisophyllum hypericifolium, Chamaesyce glomerifera, Chamaesyce hypericifolia, Ditritra obliqua, Euphorbia androsaemoides, Euphorbia bifida, Euphorbia glomerifera, Euphorbia hypericifolia, Euphorbia hypericifolia var. maculata, Euphorbia ovalifolia, Euphorbia papilligera, Xamesike hypericifolia",Atlas,0,1,0,0,1,1,4546,4288
Euphorbia lagascae,"Euphorbia kunzei, Euphorbia lagascae, Euphorbia martiusiana, Euphorbia terracina, Tithymalus lagascae",ITIS,1,0,0,1,1,1,7836,25641
Euphorbia lasiocarpa,"Anisophyllum lasiocarpum, Chamaesyce lasiocarpa, Euphorbia hypericifolia var. lasiocarpa, Euphorbia lasiocarpa, Euphorbia lasiocarpa var. subprostrata",Atlas,0,1,0,0,1,1,1178,3870
