accepted_name,occurrences,weedy,top_30_common,priority,jk_notes
Scrophularia auriculata,72582,1,yes,high,
Scrophularia canina,12426,1,yes,high,
Sempervivum arachnoideum,14412,1,yes,high,
Senecio inaequidens,89814,1,yes,high,
Senecio madagascariensis,10267,1,yes,high,
Senecio squalidus,8647,1,yes,high,
Senecio sylvaticus,80270,1,yes,high,
Seseli libanotis,18298,1,yes,high,
Silene vulgaris,183373,1,yes,high,
Silybum marianum,21933,1,yes,high,
Solidago canadensis,82801,1,yes,high,Similar problem to Calystegia sepium. S. canadansis var. scabra is native https://florida.plantatlas.usf.edu/Plant.aspx?id=3031 Possible synonymy/taxonomy/nomenclature problem here as well.
Sonchus arvensis,175885,1,yes,high,
Spartina anglica,17030,1,yes,high,
Spartium junceum,19965,1,yes,high,
Spergula morisonii,24125,1,yes,high,
Spergularia rubra,80309,1,yes,high,
Sporobolus africanus,9047,1,yes,high,
Stachys officinalis,14841,1,yes,high,
Symphyotrichum novi-belgii,14393,1,yes,high,
Symphytum officinale,209629,1,yes,high,
Tamarix gallica,11044,1,yes,high,
Tanacetum corymbosum,30211,1,yes,high,
Tanacetum parthenium,35967,1,yes,high,
Tanacetum vulgare,226946,1,yes,high,
Thalictrum minus,35742,1,yes,high,
Thymus praecox ssp. arcticus,44026,1,yes,high,
Thymus pulegioides,131971,1,yes,high,
Torilis japonica,139876,1,yes,high,
Trifolium angustifolium,21461,1,yes,high,
Trifolium medium,134121,1,yes,high,
Trifolium montanum,50084,1,yes,high,
Tripleurospermum inodorum,194497,1,yes,high,
Tulipa sylvestris,20201,1,yes,high,
Ulex europaeus,142526,1,yes,high,
Vachellia nilotica,7766,1,yes,high,Federal Noxious Weed
Veronica chamaedrys,360373,1,yes,high,
Veronica fruticans,13387,1,yes,high,
Veronica serpyllifolia,145066,1,yes,high,
Veronica verna,17076,1,yes,high,
Vicia cracca,376405,1,yes,high,
Vicia sepium,256952,1,yes,high,
Wolffia arrhiza,10762,1,yes,high,
Xerochrysum bracteatum,7140,1,yes,high,
