acc_name,synonyms,acc_name_source,climate,Atlas,fl_nox,fed_nox,naturalized,weedy,occurrences,occurrences_new,words,jk_notes
Salix cinerea,"Salix cinerea, Salix cinerea ssp. cinerea",ITIS,1,0,0,0,1,1,260589,648672,2,
Galeopsis tetrahit,,ITIS,1,0,0,0,1,1,260379,267141,2,
Vicia sepium,,ITIS,1,0,0,0,1,1,256952,278608,2,
Cytisus scoparius,"Cytiscus scoparius, Cytisus scoparius",ITIS,1,0,0,0,1,1,255450,261986,2,
Pinus pinaster,,ITIS,1,0,0,0,1,1,252320,293510,2,
Poa nemoralis,"Agrestis alba, Agrostis alba, Agrostis alba f. alba, Agrostis alba var. alba, Agrostis stolonifera f. alba, Agrostis stolonifera var. alba, Agrostis vulgaris var. alba, Decandolia alba, Paneion nemorale, Poa asperula, Poa kamtschatica, Poa nemoralis, Poa pratensis var. fagetorum, Vilfa alba",ITIS,1,0,0,0,1,1,245998,220229,2,
Myosotis scorpioides,"Myosotis palustris, Myosotis scorpioides",ITIS,1,0,0,0,1,1,242634,242531,2,
Pilosella officinarum,,TNRS,1,0,0,0,1,1,239747,50725,2,
Pimpinella saxifraga,,ITIS,1,0,0,0,1,1,231697,221369,2,
Bromus sterilis,"Anisantha sterilis, Bromus grandiflorus, Bromus jubatus, Bromus sterilis, Genea sterilis, Schedonorus sterilis, Zerna sterilis",ITIS,1,0,0,0,1,1,227181,243119,2,
Tanacetum vulgare,"Chrysanthemum vulgare, Tanacetum boreale, Tanacetum vulgare, Tanacetum vulgare var. crispum",ITIS,1,0,0,0,1,1,226946,252335,2,
Matricaria discoidea,"Artemisia matricarioides, Chamomilla suaveolens, Lepidanthus suaveolens, Lepidotheca suaveolens, Matricaria discoidea, Matricaria matricarioides, Matricaria suaveolens, Santolina suaveolens, Tanacetum suaveolens",ITIS,1,0,0,0,1,1,226544,239959,2,
Potentilla verna,"Potentilla neumanniana, Potentilla tabernaemontani, Potentilla verna",ITIS,1,0,0,0,1,1,215986,145242,2,
Draba verna,"Draba praecox, Draba verna, Draba verna var. aestivalis, Draba verna var. boerhaavii, Draba verna var. major, Erophila spathulata, Erophila verna, Erophila verna ssp. praecox, Erophila verna ssp. spathulata",ITIS,1,0,0,0,1,1,213809,125005,2,
Mycelis muralis,"Lactuca muralis, Mycelis muralis",ITIS,1,0,0,0,1,1,211623,145123,2,
Lamium galeobdolon,"Lamiastrum galeobdolon, Lamium galeobdolon",ITIS,1,0,0,0,1,1,210263,137295,2,"Accepted name by TPL, but with lowest level of confidence"
Symphytum officinale,"Symphytum officinale, Symphytum officinale ssp. uliginosum, Symphytum officinale var. officinale, Symphytum uliginosum",ITIS,1,0,0,0,1,1,209629,224321,2,
Holcus mollis,"Aira holcus-mollis, Aira mollis, Avena mollis, Avena sylvatica, Ginannia mollis, Holcus mollis, Notholcus mollis",ITIS,1,0,0,0,1,1,209013,227695,2,
Clematis vitalba,,ITIS,1,0,0,0,1,1,206046,238107,2,
Myosotis arvensis,"Myosotis arvensis, Myosotis scorpioides var. arvensis",ITIS,1,0,0,0,1,1,204864,222408,2,
Matricaria chamomilla,"Chamomilla chamomilla, Chamomilla recutita, Matricaria chamomilla, Matricaria chamomilla var. coronata, Matricaria courrantiana, Matricaria recutita, Matricaria suaveolens",ITIS,1,0,0,0,1,1,203564,128229,2,
