acc_name,selected,synonyms,naturalized,weedy,fed_nox,fl_nox,occurrences,occurrences_new,Atlas,climate,acc_name_source
Glyceria fluitans,1,"Devauxia fluitans, Festuca fluitans, Glyceria fluitans, Glyceria fluitans var. acutiflora, Hydrochloa fluitans, Melica fluitans, Panicularia brachyphylla, Panicularia fluitans, Poa fluitans",1,1,0,0,279154,318884,0,1,ITIS
Glyceria maxima,1,"Catabrosa hydrophila, Exydra aquatica, Festuca aquatica, Glyceria altissima, Glyceria aquatica, Glyceria maxima, Glyceria spectabilis, Heleochloa aquatica, Hydropoa spectabilis, Molinia maxima, Panicularia aquatica, Poa aquatica",1,1,0,0,184632,211130,0,1,ITIS
Gnaphalium uliginosum,1,"Filaginella ulginosa, Filaginella uliginosa, Gnaphalium uliginosum",1,1,0,0,133376,139390,0,1,ITIS
Helminthotheca echioides,1,"Helminthotheca echioides, Picris echioides",1,1,0,0,105080,93323,0,1,ITIS
Holcus mollis,1,"Aira holcus-mollis, Aira mollis, Avena mollis, Avena sylvatica, Ginannia mollis, Holcus mollis, Notholcus mollis",1,1,0,0,209013,227695,0,1,ITIS
Hypericum perforatum,1,Hypericum perforatum,1,1,0,0,397491,448169,0,1,ITIS
Impatiens glandulifera,1,"Impatiens glandulifera, Impatiens roylei",1,1,0,0,156662,272073,0,1,ITIS
Jacobaea vulgaris,1,"Jacobaea vulgaris, Senecio jacobaea",1,1,0,0,325716,297091,0,1,ITIS
Juncus articulatus,1,"Juncus articulatus, Juncus articulatus var. obtusatus",1,1,0,0,269062,307772,0,1,ITIS
Juncus inflexus,1,"Juncus glaucus, Juncus inflexus",1,1,0,0,165235,172777,0,1,TNRS
Lamium galeobdolon,1,"Lamiastrum galeobdolon, Lamium galeobdolon",1,1,0,0,210263,137295,0,1,ITIS
Ligustrum vulgare,1,Ligustrum vulgare,1,1,0,0,277160,297246,0,1,ITIS
Lupinus polyphyllus,1,Lupinus polyphyllus,1,1,0,0,111039,135373,0,1,ITIS
Luzula campestris,1,"Juncoides campestre, Luzula campestris, Luzula campestris var. campestris",1,1,0,0,277845,302608,0,1,ITIS
Malva moschata,1,"Malva moschata, Malva moschata var. rosea",1,1,0,0,81528,81694,0,1,ITIS
Malva sylvestris,1,"Malva mauritiana, Malva sylvestris, Malva sylvestris ssp. mauritiana, Malva sylvestris var. mauritiana",1,1,0,0,100727,156962,0,1,ITIS
Matricaria chamomilla,1,"Chamomilla chamomilla, Chamomilla recutita, Matricaria chamomilla, Matricaria chamomilla var. coronata, Matricaria courrantiana, Matricaria recutita, Matricaria suaveolens",1,1,0,0,203564,128229,0,1,ITIS
Matricaria discoidea,1,"Artemisia matricarioides, Chamomilla suaveolens, Lepidanthus suaveolens, Lepidotheca suaveolens, Matricaria discoidea, Matricaria matricarioides, Matricaria suaveolens, Santolina suaveolens, Tanacetum suaveolens",1,1,0,0,226544,239959,0,1,ITIS
Mentha aquatica,1,"Mentha aquatica, Mentha citrata, Mentha piperita ssp. citrata, Mentha X piperi var. citrata, Mentha X piperita var. citrata",1,1,0,0,285990,320488,0,1,ITIS
Miconia calvescens,1,Miconia calvescens,1,1,0,0,94563,94624,0,1,ITIS
Myosotis arvensis,1,"Myosotis arvensis, Myosotis scorpioides var. arvensis",1,1,0,0,204864,222408,0,1,ITIS
Myosotis scorpioides,1,"Myosotis palustris, Myosotis scorpioides",1,1,0,0,242634,242531,0,1,ITIS
Papaver dubium,1,Papaver dubium,1,1,0,0,84228,61108,0,1,ITIS
Persicaria hydropiper,1,"Persicaria hydropiper, Polygonum hydropiper, Polygonum hydropiper var. projectum",1,1,0,0,183232,133511,0,1,ITIS
Phalaris arundinacea,1,"Arundo colorata, Arundo riparia, Baldingera arundinacea, Baldingera colorata, Calamagrostis colorata, Calamagrostis variegata, Digraphis americana, Digraphis arundinacea, Endallex arundinacea, Endallex arundinaceae, Phalaridantha arundinacea, Phalaris arundinacea, Phalaris arundinacea f. coarctata, Phalaris arundinacea f. minor, Phalaris arundinacea f. pallens, Phalaris arundinacea f. pallida, Phalaris arundinacea f. ramifera, Phalaris arundinacea f. ramosa, Phalaris arundinacea ssp. typica, Phalaris arundinacea var. colorata, Phalaris arundinacea var. genuina, Phalaroides arundinacea, Typhoides arundinacea",1,1,0,0,391216,453882,0,1,ITIS
Pilosella officinarum,1,Pilosella officinarum,1,1,0,0,239747,50725,0,1,TNRS
Pimpinella saxifraga,1,Pimpinella saxifraga,1,1,0,0,231697,221369,0,1,ITIS
Pinus halepensis,1,Pinus halepensis,1,1,0,0,350629,56177,0,1,ITIS
Pinus pinaster,1,Pinus pinaster,1,1,0,0,252320,293510,0,1,ITIS
Plantago coronopus,1,"Plantago coronopus, Plantago coronopus ssp. commutata",1,1,0,0,92062,94608,0,1,ITIS
Poa compressa,1,"Paneion compressum, Poa compressa, Poa compressa f. depauperata, Poa compressa var. sylvestris",1,1,0,0,74803,74042,0,1,ITIS
Poa nemoralis,1,"Agrestis alba, Agrostis alba, Agrostis alba f. alba, Agrostis alba var. alba, Agrostis stolonifera f. alba, Agrostis stolonifera var. alba, Agrostis vulgaris var. alba, Decandolia alba, Paneion nemorale, Poa asperula, Poa kamtschatica, Poa nemoralis, Poa pratensis var. fagetorum, Vilfa alba",1,1,0,0,245998,220229,0,1,ITIS
Poa trivialis,1,"Poa ariguensis, Poa callida, Poa maullinica, Poa modesta, Poa pichinchensis, Poa stolonifera, Poa trachyphylla, Poa trivialis, Poa trivialis var. filiculmis, Poa trivialis var. woronowii, Poa woronowii",1,1,0,0,532864,604255,0,1,ITIS
Potamogeton natans,1,Potamogeton natans,1,1,0,0,107500,120644,0,1,ITIS
Potentilla verna,1,"Potentilla neumanniana, Potentilla tabernaemontani, Potentilla verna",1,1,0,0,215986,145242,0,1,ITIS
Primula elatior,1,Primula elatior,1,1,0,0,118741,18535,0,1,ITIS
Pulicaria dysenterica,1,"Inula dysenterica, Pulicaria dysenterica",1,1,0,0,119647,120152,0,1,ITIS
Rhamnus cathartica,1,Rhamnus cathartica,1,1,0,0,97803,106710,0,1,ITIS
Rhamnus frangula,1,"Frangula alnus, Rhamnus frangula, Rhamnus frangula var. angustifolia",1,1,0,0,361840,229294,0,1,ITIS
