Preferred scientific name,International common name,Taxonomic group,ISC content,CPC content,Datasheet Type,Domain,Kingdom,Phylum,Class,Order,Family,Invasive Somewhere,Total number of presence records,Number of presence records in neighbouring countries/states,Number of presence records countries/states with matching climate,Total Hosts,Habitats,Plant parts in trade,Pathways,Datasheet URL(s)
Prosopis velutina,velvet mesquite,Plants,Full datasheet,Full datasheet,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,22,0,13,1,,no data,,https://www.cabi.org/cpc/datasheet/44457; https://www.cabi.org/isc/datasheet/44457
Protomelittomma insulare,coconut palm borer,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Lymexylidae,,2,0,2,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/33161
Protopterus aethiopicus aethiopicus,marbled lungfish,Vertebrates,Full datasheet,,invasiveSpecies,Eukaryota,Metazoa,Chordata,Sarcopterygii,Lepidosireniformes,Protopteridae,invasive,10,0,10,0,,no data,no data,https://www.cabi.org/isc/datasheet/120144
Protopulvinaria pyriformis,pyriform scale,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Coccidae,,13,0,6,14,no data,no data,no data,https://www.cabi.org/cpc/datasheet/44552
Prune dwarf virus,cherry ring mottle,Viruses,,Full datasheet,pest,Virus,,,,,Bromoviridae,,54,1,27,17,no data,no data,no data,https://www.cabi.org/cpc/datasheet/42402
Pseudacanthotermes militaris,sugarcane termite,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Isoptera,Termitidae,,6,0,4,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/44884
Pseudaonidia trilobitiformis,trilobite scale,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Diaspididae,,12,0,10,10,no data,no data,no data,https://www.cabi.org/cpc/datasheet/44917
Pseudocercospora angolensis,leaf spot of Citrus spp.,Fungi/Chromista,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,invasive,133,0,23,14,,,,https://www.cabi.org/cpc/datasheet/12184; https://www.cabi.org/isc/datasheet/12184
Pseudococcus calceolariae,scarlet mealybug,Invertebrates,,Full datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Pseudococcidae,,31,0,18,47,no data,no data,no data,https://www.cabi.org/cpc/datasheet/45086
Pseudococcus comstocki,Comstock mealybug,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Pseudococcidae,,76,2,48,9,no data,no data,no data,https://www.cabi.org/cpc/datasheet/45084
Pseudococcus viburni,obscure mealybug,Invertebrates,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Pseudococcidae,invasive,101,2,64,23,,,,https://www.cabi.org/cpc/datasheet/45080; https://www.cabi.org/isc/datasheet/45080
Pseudocochliobolus eragrostidis,leaf spot: maize,Fungi/Chromista,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,8,0,4,8,no data,no data,no data,https://www.cabi.org/cpc/datasheet/17048
Pseudocochliobolus pallescens,leaf spot of maize,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,8,0,6,7,no data,no data,no data,https://www.cabi.org/cpc/datasheet/17050
Pseudomonas aeruginosa,,Bacteria,,Basic datasheet,"pest,naturalEnemy",Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,16,0,11,10,no data,no data,no data,https://www.cabi.org/cpc/datasheet/44928
Pseudomonas betle,,Bacteria,,Basic datasheet,pest,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,5,0,5,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/44937
Pseudomonas fluorescens,pink eye: potato,Bacteria,,Full datasheet,"pest,naturalEnemy",Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,52,0,30,40,no data,no data,no data,https://www.cabi.org/cpc/datasheet/44956
Pseudomonas fuscovaginae,sheath brown rot,Bacteria,,Full datasheet,pest,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,41,0,36,12,no data,,,https://www.cabi.org/cpc/datasheet/44957
Pseudomonas savastanoi pv. phaseolicola,halo blight (of beans),Bacteria,,Full datasheet,"pest,naturalEnemy",Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,83,0,50,18,no data,,no data,https://www.cabi.org/cpc/datasheet/44987
Pseudomonas savastanoi pv. savastanoi,oleander knot,Bacteria,Full datasheet,Full datasheet,"pest,invasiveSpecies",Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,invasive,52,1,24,8,no data,,no data,https://www.cabi.org/cpc/datasheet/45004; https://www.cabi.org/isc/datasheet/45004
Pseudomonas syringae,bacterial blast,Bacteria,,Full datasheet,"pest,naturalEnemy",Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,55,1,28,62,no data,no data,no data,https://www.cabi.org/cpc/datasheet/45010
Pseudomonas syringae pv. atrofaciens,basal: wheat glume rot,Bacteria,,Basic datasheet,pest,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,34,0,18,6,no data,no data,no data,https://www.cabi.org/cpc/datasheet/44934
Pseudomonas syringae pv. coronafaciens,halo blight,Bacteria,,Full datasheet,pest,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,37,0,14,13,no data,,no data,https://www.cabi.org/cpc/datasheet/44943
Pseudomonas syringae pv. delphinii,leaf spot,Bacteria,,Basic datasheet,pest,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,13,0,7,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/44950
Pseudomonas syringae pv. garcae,bacterial blight of coffee,Bacteria,,Full datasheet,pest,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,4,0,4,6,no data,,,https://www.cabi.org/cpc/datasheet/44959
Pseudomonas syringae pv. lachrymans,cucurbit angular leaf spot,Bacteria,,Full datasheet,pest,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,74,0,37,10,no data,,no data,https://www.cabi.org/cpc/datasheet/44969
Pseudomonas syringae pv. maculicola,bacterial: cabbage leaf spot,Bacteria,,Full datasheet,"pest,naturalEnemy",Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,50,0,30,11,no data,no data,no data,https://www.cabi.org/cpc/datasheet/44973
Pseudomonas syringae pv. mellea,Wisconsin tobacco disease,Bacteria,,Basic datasheet,pest,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,12,0,7,14,no data,no data,no data,https://www.cabi.org/cpc/datasheet/44974
Pseudomonas syringae pv. mori,bacterial: mulberry blight,Bacteria,,Basic datasheet,pest,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,60,0,44,7,no data,no data,no data,https://www.cabi.org/cpc/datasheet/44977
