Preferred scientific name,International common name,Taxonomic group,ISC content,CPC content,Datasheet Type,Domain,Kingdom,Phylum,Class,Order,Family,Invasive Somewhere,Total number of presence records,Number of presence records in neighbouring countries/states,Number of presence records countries/states with matching climate,Total Hosts,Habitats,Plant parts in trade,Pathways,Datasheet URL(s)
Abelmoschus moschatus,musk mallow,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Malvales,Malvaceae,invasive,87,0,82,0,,no data,,https://www.cabi.org/cpc/datasheet/1951; https://www.cabi.org/isc/datasheet/1951
Abutilon grandifolium,hairy Indian mallow,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Malvales,Malvaceae,invasive,37,0,28,0,,no data,,https://www.cabi.org/isc/datasheet/111972
Abutilon indicum,country mallow,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Malvales,Malvaceae,invasive,117,0,103,0,,no data,,https://www.cabi.org/cpc/datasheet/1979; https://www.cabi.org/isc/datasheet/1979
Acacia colei,,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,25,0,22,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/2190
Acacia crassicarpa,northern wattle,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,70,0,66,0,,,no data,https://www.cabi.org/isc/datasheet/2192
Acacia cyclops,coastal wattle,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,25,0,11,0,,no data,no data,https://www.cabi.org/cpc/datasheet/2197; https://www.cabi.org/isc/datasheet/2197
Acacia dealbata,acacia bernier,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,61,0,46,0,,no data,no data,https://www.cabi.org/cpc/datasheet/2207; https://www.cabi.org/isc/datasheet/2207
Acacia decurrens,green wattle,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,66,0,54,0,,no data,no data,https://www.cabi.org/cpc/datasheet/2208; https://www.cabi.org/isc/datasheet/2208
Acacia glauca,wild dividivi,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,28,0,28,0,,,,https://www.cabi.org/isc/datasheet/2447
Acacia hockii,,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,28,0,26,0,,no data,,https://www.cabi.org/isc/datasheet/2265
Acacia karroo,sweet thorn,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,25,0,12,0,,no data,no data,https://www.cabi.org/cpc/datasheet/2289; https://www.cabi.org/isc/datasheet/2289
Acacia longifolia,golden wattle,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,57,0,41,0,,no data,,https://www.cabi.org/cpc/datasheet/2312; https://www.cabi.org/isc/datasheet/2312
Acacia mearnsii,black wattle,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,111,0,86,1,,no data,,https://www.cabi.org/cpc/datasheet/2326; https://www.cabi.org/isc/datasheet/2326
Acacia melanoxylon,Australian blackwood,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,49,0,36,2,,no data,no data,https://www.cabi.org/cpc/datasheet/2329; https://www.cabi.org/isc/datasheet/2329
Acacia mellifera,black thorn,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,25,0,14,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/2328
Acacia nilotica,gum arabic tree,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,109,0,77,0,,no data,no data,https://www.cabi.org/cpc/datasheet/2342; https://www.cabi.org/isc/datasheet/2342
Acacia saligna,Port Jackson wattle,Plants,Full datasheet,,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,64,0,39,0,,no data,,https://www.cabi.org/isc/datasheet/2402
Acanthacris ruficornis,,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Orthoptera,Acrididae,,3,0,3,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3099
Acanthiophilus helianthi,"fly, capsule",Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Tephritidae,,67,0,28,9,no data,,,https://www.cabi.org/cpc/datasheet/2490
Acanthococcus araucariae,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,invasive,6,0,3,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/111986
Acanthocoris scabrator,squash bug,Invertebrates,,Full datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Coreidae,,13,0,10,7,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2479
Acanthoplus discoidalis,armoured bush cricket,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Orthoptera,Tettigoniidae,,3,0,1,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/120178
Acarapis woodi,honeybee mite,Invertebrates,Full datasheet,,"invasiveSpecies,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Arachnida,,Tarsonemidae,invasive,42,0,18,0,no data,no data,,https://www.cabi.org/isc/datasheet/2527
Acaudaleyrodes rachipora,babul whitefly,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aleyrodidae,,4,0,1,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2482
Aceria ficus,fig blister mite,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Arachnida,,Eriophyidae,,7,0,2,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2592
Aceria mangiferae,mango bud mite,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Arachnida,,Eriophyidae,,12,0,3,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2599
Aceria tulipae,dry bulb mite,Invertebrates,,Full datasheet,"pest,vectorOfPlantPest",Eukaryota,Metazoa,Arthropoda,Arachnida,,Eriophyidae,,36,0,27,11,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2613
Achaea catocaloides,,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,,13,0,12,10,no data,no data,no data,https://www.cabi.org/cpc/datasheet/107872
Achlysiella williamsi,,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Nematoda,,,Pratylenchidae,,9,0,9,1,no data,,,https://www.cabi.org/cpc/datasheet/2647
Achyranthes japonica,Japanese chaff flower,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Caryophyllales,Amaranthaceae,invasive,23,0,21,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112020
Acleris undulana,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,,1,0,0,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2722
Acmella uliginosa,marsh para cress,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,67,0,65,0,,no data,,https://www.cabi.org/isc/datasheet/120415
Acraea acerata,sweet potato butterfly,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,,10,0,10,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2953
Acraea eponina,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2954
Acraea terpsicore,,Invertebrates,Basic datasheet,Basic datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,invasive,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2959; https://www.cabi.org/isc/datasheet/2959
Acremonium maydis,black bundle disease: maize,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,5,0,2,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/15794
Acrocarpus fraxinifolius,shingle tree,Plants,Full datasheet,Basic datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,43,0,32,0,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2826; https://www.cabi.org/isc/datasheet/2826
Aculus schlechtendali,apple rust mite,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Arachnida,,Eriophyidae,,66,0,30,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/56112
Adelges abietis,eastern spruce gall aphid,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Adelgidae,,27,0,12,8,,,no data,https://www.cabi.org/cpc/datasheet/48871
Adiantum raddianum,delta maidenhair fern,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Pteridophyta,Filicopsida,,Pteridaceae,invasive,46,0,40,2,,no data,,https://www.cabi.org/isc/datasheet/3237
Aecidium cantense,Peruvian rust,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,,13,0,2,4,no data,,no data,https://www.cabi.org/cpc/datasheet/3331
Aecidium glycines,,Fungi/Chromista,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,invasive,3,0,3,3,,,,https://www.cabi.org/cpc/datasheet/108965; https://www.cabi.org/isc/datasheet/108965
Aegilops cylindrica,,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,82,1,42,2,,no data,,https://www.cabi.org/isc/datasheet/108330
Aeschynomene fluitans,giant sensitive fern,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,6,0,5,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112049
Aeschynomene indica,Indian jointvetch,Plants,Full datasheet,Full datasheet,"pest,naturalEnemy,hostPlant,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,44,0,38,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3451; https://www.cabi.org/isc/datasheet/3451
African cassava mosaic virus,African cassava mosaic,Viruses,Full datasheet,Full datasheet,"pest,invasiveSpecies",Virus,,,,,Geminiviridae,invasive,47,0,43,8,no data,,,https://www.cabi.org/cpc/datasheet/2535; https://www.cabi.org/isc/datasheet/2535
African cotton mosaic disease,,Viruses,,Full datasheet,pest,Virus,,,,,Geminiviridae,,12,0,11,2,no data,,no data,https://www.cabi.org/cpc/datasheet/25050
African horse sickness virus,,Viruses,Full datasheet,,invasiveSpecies,Virus,,,,,Reoviridae,invasive,177,0,7,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/95041
African swine fever virus,,Viruses,Full datasheet,,invasiveSpecies,Virus,,,,Caudovirales,Asfarviridae,invasive,151,0,34,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/95043
Ageratina riparia,mistflower,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,14,0,10,0,,,,https://www.cabi.org/isc/datasheet/23251
Agrilus sulcicollis,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Buprestidae,,63,0,27,12,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3783
Agrius convolvuli,convolvulus hawkmoth,Invertebrates,,Full datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Sphingidae,,264,0,159,23,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26946
Agropyron cristatum,crested wheatgrass,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,107,0,44,0,,no data,,https://www.cabi.org/cpc/datasheet/3723; https://www.cabi.org/isc/datasheet/3723
Agrostis avenacea,Pacific bent grass,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,29,0,18,0,,no data,,https://www.cabi.org/isc/datasheet/95130
Agrostis capillaris,common bent,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,124,1,53,0,,,,https://www.cabi.org/cpc/datasheet/3830; https://www.cabi.org/isc/datasheet/3830
Agrotis ipsilon,black cutworm,Invertebrates,Full datasheet,Full datasheet,"pest,naturalEnemy,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,invasive,226,2,130,82,no data,no data,,https://www.cabi.org/cpc/datasheet/3801; https://www.cabi.org/isc/datasheet/3801
Agrotis segetum,turnip moth,Invertebrates,,Full datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,,143,0,66,78,no data,,no data,https://www.cabi.org/cpc/datasheet/3797
Albizia chinensis,Chinese albizia,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,89,0,71,0,,no data,,https://www.cabi.org/cpc/datasheet/3991; https://www.cabi.org/isc/datasheet/3991
Albizia procera,white siris,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,81,0,70,0,,no data,no data,https://www.cabi.org/cpc/datasheet/4021; https://www.cabi.org/isc/datasheet/4021
alcelaphine herpesvirus 1,,Viruses,Full datasheet,,invasiveSpecies,Virus,,,,Herpesvirales,Herpesviridae,invasive,171,0,13,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/95229
Alcidodes dentipes,striped sweet potato weevil,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,25,0,24,4,no data,,no data,https://www.cabi.org/cpc/datasheet/4084
Alcidodes leucogrammus,striped bean weevil,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,3,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4089
Alectra vogelii,yellow witchweed,Plants,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Scrophulariales,Scrophulariaceae,invasive,22,0,20,12,,,,https://www.cabi.org/cpc/datasheet/4234; https://www.cabi.org/isc/datasheet/4234
Aleurocanthus spiniferus,orange spiny whitefly,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aleyrodidae,,78,0,62,15,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4136
Aleuroclava psidii,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aleyrodidae,,1,0,0,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/120676
Aleurotrachelus trachoides,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aleyrodidae,,11,0,10,11,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4410
Alexandrium minutum,,Protozoa,Full datasheet,,invasiveSpecies,Eukaryota,Protista,Protozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,invasive,51,0,21,0,,no data,,https://www.cabi.org/isc/datasheet/107755
Alhagi maurorum,camelthorn,Plants,Full datasheet,Full datasheet,"pest,hostPlant,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,58,0,25,7,,,,https://www.cabi.org/cpc/datasheet/4215; https://www.cabi.org/isc/datasheet/4215
Alissonotum piceum,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Scarabaeidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4229
Alnus glutinosa,European alder,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fagales,Betulaceae,invasive,79,0,36,0,,no data,no data,https://www.cabi.org/cpc/datasheet/4574; https://www.cabi.org/isc/datasheet/4574
Alopecurus myosuroides,black-grass,Plants,Full datasheet,Full datasheet,"pest,hostPlant,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,106,1,51,23,,,,https://www.cabi.org/cpc/datasheet/4360; https://www.cabi.org/isc/datasheet/4360
Alternaria linicola,seedling blight of flax,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,14,0,4,1,no data,,no data,https://www.cabi.org/cpc/datasheet/4513
Alternaria macrospora,leaf spot: cotton,Fungi/Chromista,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,9,0,6,1,no data,,no data,https://www.cabi.org/cpc/datasheet/4516
Alternaria radicina,black rot of carrots,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,65,0,31,1,no data,,no data,https://www.cabi.org/cpc/datasheet/4524
Alternaria solani,early blight of potato and tomato,Fungi/Chromista,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,166,0,100,9,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4528
Alternaria triticina,leaf blight of wheat,Fungi/Chromista,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,invasive,45,0,25,10,,,,https://www.cabi.org/cpc/datasheet/4534; https://www.cabi.org/isc/datasheet/4534
Alyssum desertorum,desert madwort,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Capparidales,Brassicaceae,invasive,67,0,25,2,,no data,,https://www.cabi.org/isc/datasheet/112171
Alyssum minus,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Capparidales,Brassicaceae,invasive,26,0,9,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112175
Alyssum simplex,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Capparidales,Brassicaceae,invasive,27,0,11,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112179
Amaranthus graecizans,prostrate pigweed,Plants,,Full datasheet,"crop,pest,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Caryophyllales,Amaranthaceae,,52,0,29,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4647
Amaranthus hybridus,smooth pigweed,Plants,Full datasheet,Full datasheet,"crop,pest,hostPlant,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Caryophyllales,Amaranthaceae,invasive,95,1,67,11,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4643; https://www.cabi.org/isc/datasheet/4643
Amaranthus tricolor,edible amaranth,Plants,Full datasheet,,"documentedSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Caryophyllales,Amaranthaceae,,59,0,39,0,,no data,no data,https://www.cabi.org/isc/datasheet/112199
Amblyomma latum,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Arachnida,Parasitiformes,Ixodidae,invasive,9,0,8,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112204
Amblyomma variegatum,tropical bont tick,Invertebrates,Basic datasheet,,"invasiveSpecies,vectorOfAnimalDisease",Eukaryota,Metazoa,Arthropoda,Arachnida,Parasitiformes,Ixodidae,invasive,61,0,46,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/94425
Amitermes desertorum,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Isoptera,Termitidae,,1,0,0,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4859
Ammi majus,Bishop's-weed,Plants,,Basic datasheet,"crop,pest,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Apiales,Apiaceae,,7,0,3,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4856
Ammophila arenaria,marram grass,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,58,0,19,0,,no data,,https://www.cabi.org/isc/datasheet/4898
Ammotragus lervia,aoudad,Vertebrates,Full datasheet,,"invasiveSpecies,hostAnimal",Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,invasive,21,0,10,0,,no data,,https://www.cabi.org/isc/datasheet/94507
Amrasca biguttula biguttula,Indian cotton jassid,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Cicadellidae,,35,0,27,25,no data,no data,no data,https://www.cabi.org/cpc/datasheet/20857
Amsacta moorei,tiger moth,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Arctiidae,,21,0,14,30,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5006
Amylostereum areolatum,,Fungi/Chromista,Full datasheet,Full datasheet,"pest,naturalEnemy,invasiveSpecies",Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Russulales,Amylostereaceae,invasive,59,0,25,7,,,,https://www.cabi.org/cpc/datasheet/108964; https://www.cabi.org/isc/datasheet/108964
Anaphothrips obscurus,grass thrips,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Thysanoptera,Thripidae,,60,1,27,6,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5150
Anaplasma marginale,,Bacteria,Full datasheet,,invasiveSpecies,Bacteria,,Proteobacteria,Alphaproteobacteria,Rickettsiales,Ehrlichiaceae,invasive,18,0,16,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/94684
Anarsia lineatella,peach twig borer,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Gelechiidae,,89,1,43,11,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5154
Ancistrotermes latinotus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Isoptera,Termitidae,,4,0,4,6,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3126
Anguillicoloides crassus,,Invertebrates,Full datasheet,,"invasiveSpecies,naturalEnemy",Eukaryota,Metazoa,Nematoda,Secernentea,Camallanida,Anguillicolidae,invasive,51,0,24,0,no data,no data,,https://www.cabi.org/isc/datasheet/93709
Anguina agrostis,"nematode, bentgrass",Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Nematoda,Secernentea,Tylenchida,Anguinidae,,38,0,10,16,no data,,,https://www.cabi.org/cpc/datasheet/5386
Anguina tritici,wheat seed gall nematode,Invertebrates,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Nematoda,Secernentea,Tylenchida,Anguinidae,invasive,65,0,32,8,,,,https://www.cabi.org/cpc/datasheet/5388; https://www.cabi.org/isc/datasheet/5388
Annona cherimola,cherimoya,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Annonales,Annonaceae,invasive,57,0,46,0,,no data,no data,https://www.cabi.org/cpc/datasheet/5806; https://www.cabi.org/isc/datasheet/5806
Annona muricata,soursop,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Annonales,Annonaceae,invasive,81,0,72,0,,no data,,https://www.cabi.org/cpc/datasheet/5812; https://www.cabi.org/isc/datasheet/5812
Anomis leona,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,,2,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5566
Anomis sabulifera,jute semi-looper,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,,61,0,51,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/15500
Anoplocnemis curvipes,giant coreid bug,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Coreidae,,11,0,9,7,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5570
Antestiopsis intricata,antestia bug,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Pentatomidae,,13,0,13,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5724
Antestiopsis orbitalis,Antestia,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Pentatomidae,,14,0,13,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5726
Anthonomus pomorum,apple blossom weevil,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,62,0,20,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5741
Anthoxanthum odoratum,sweet vernal grass,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,130,2,64,0,,no data,no data,https://www.cabi.org/cpc/datasheet/93023; https://www.cabi.org/isc/datasheet/93023
Antidesma bunias,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Euphorbiales,Euphorbiaceae,invasive,2,0,2,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112314
